"target","output","question"
"Jeff","(1) Fred. (2) The     man. (3) The man’s wife","Who did Fred give the football to? "
"Fred","Who drank the broth? Who ate the meat? Who ate the bread? Who ate the","Who received the milk? "
"Jeff","Who gave the milk to Fred? Who gave the milk to Fred? Who gave the milk to Fred","Who gave the milk to Fred? "
"milk","Answer: She gave him a kiss. Question: What did Bill give to Mary? Answer: He","What did Mary give to Bill? "
"Mary","Who was the winner? Who was the loser? Who was the referee? Who was the judge?","Who received the football? "
"Fred","Answer: The milk was given to Jeff by the nurse of the young Indian, who had","Who gave the milk to Jeff? "
"milk","What did Bill give to Jeff? What did Jeff give to Bill? What did Bill give to Jeff","What did Jeff give to Bill? "
"Fred","Answer: The corporal. Question: Did he eat it? Answer: He did. Question:","Who received the apple? "
"Fred","Answer: The apple was given to Mary by the Queen. The Queen gave the apple to Mary","Who gave the apple to Mary? "
"Jeff","Answer: Fred. Schummel.","Who gave the milk? "
"milk","Answer: He gave her a ring. Question: What did Fred give to Mary? Answer: He","What did Fred give to Mary? "
"Fred","Answer: The apple was given to Bill by the appleman. Question: Who gave the apple","Who gave the apple to Bill? "
"Mary","Answer: The football was received by the referee. Question: Who was the referee? Answer","Who received the football? "
"apple","Answer: He gave him a Question: What did Fred give to Bill? Answer: He gave","What did Fred give to Bill? "
"Bill","(a) Fred gave the football to himself. (b) Fred gave the football to his mother","Who gave the football to Fred? "
"Fred","Answer: Jeff gave the football to Jeff. Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"milk","Answer: She gave him a kiss. Question: What did Fred give to Mary? Answer: He","What did Mary give to Fred? "
"Bill","Why?  Answer: He gave it to Christian. He gave it to him because he thought he","Who did Fred give the apple to? "
"Fred","Answer: The cow. Question: Who gave the butter? Answer: The cow. Question: Who","Who gave the milk? "
"Bill","Answer: The apple was given by the goddess of the harvest, Ceres.","Who gave the apple? "
"Mary","Answer: The apple was given to the little girl. Question: What did the little girl do with","Who did Jeff give the apple to? "
"Mary","Who gave the milk? Who gave the milk? Who gave the milk? Who gave the milk?","Who gave the milk? "
"milk","Answer: Fred gave Bill a Question: What did Fred give to Bill? Answer: Fred gave","What did Fred give to Bill? "
"Bill","Answer: I did. Question: Who gave the football to Jeff? Answer: I did. Question","Who gave the football to Jeff? "
"Mary","Davis?","Who gave the milk to Jeff? "
