"target","output","question"
"Jeff","Jeff  Answer: Jeff gave the football to Fred. I went to compliment the Duchess of Graft","Who did Fred give the football to? "
"Bill","Bill  # Mary gave the milk to Bill. # Mary gave the milk to Bill. # Mary","Who did Mary give the milk to? "
"Jeff","Mary Question: Who did Mary give the apple to? Bill Question: Who did Bill give","Who did Fred give the milk to? "
"milk","Mary gave Fred the milk. Answer: Mary gave Fred the milk. Question: What did Fred give","What did Mary give to Fred? "
"Fred","Mary  Mary received the milk from Fred. </p>  <p> Bill entered the office. Mary","Who received the milk? "
"apple","1 apple.  Mary gave the apple to Fred.  Mary gave the apple to Fred.  Mary gave","What did Mary give to Jeff? "
"apple","Mary gave the apple to Fred. Fred handed the apple to Mary. Mary gave the apple to Fred","What did Mary give to Jeff? "
"apple","The apple. Mary put the apple on the floor. Mary put the apple on the floor. Mary","What did Fred give to Bill? "
"Jeff","Mary  Answer: Mary gave the milk to Fred. Mary moved to the kitchen. Bill moved to","Who gave the milk to Fred? "
"Fred","Mary Answer: Mary gave the apple to Mary. Mary gave the apple to Mary.  Question:","Who gave the apple to Mary? "
"Jeff","Mary  Question: Who saw the apple? Mary  Question: Who saw the apple? Mary","Who received the football? "
"Jeff","Jeff  Answer: Mary gave the football to Jeff Question: Who did Mary give the football to","Who did Mary give the football to? "
"milk","milk  Mary gave milk to Bill in 1.5 seconds  Bill moved to the kitchen.","What did Mary give to Bill? "
"Bill","Bill  Answer: Bill  Question: Who did Mary give the milk to? Bill  Answer:","Who did Mary give the milk to? "
"milk","the milk  Mary gave the milk to Bill Bill put the milk into the cup Bill put","What did Mary give to Bill? "
"apple","The apple.  Mary gave the apple to Fred. Fred gave the apple to Mary. Mary gave the","What did Fred give to Mary? "
"Mary","Mary.  Mary received the football from Jeff Mary passed the football to Fred. </context>  Question","Who received the football? "
"apple","The apple.  Answer: The apple.  Question: What did Fred give to Bill? The apple.","What did Fred give to Bill? "
"Jeff","Mary  Question: Who saw the apple? Mary  Question: Who saw the apple? Mary","Who received the apple? "
"Bill","Bill Answer: Mary gave the football to Bill. Question: Who moved to the bathroom? Mary","Who did Mary give the football to? "
