idx,task,length,scorer,n_chunks,needle_chunks,needle_located,pool_offset,n_candidates,needle_in_buffer,needle_evicted,needle_rank,recall@1,recall@2,recall@4,recall@8,recall@16
0,qa5,32k,S1,60,0;49,True,,0,False,False,,,,,,
0,qa5,32k,S2,60,0;49,True,,0,False,False,,,,,,
0,qa5,32k,S3,60,0;49,True,,0,False,False,,,,,,
0,qa5,32k,S4,60,0;49,True,,0,False,False,,,,,,
1,qa5,32k,S1,62,49,True,,0,False,False,,,,,,
1,qa5,32k,S2,62,49,True,,0,False,False,,,,,,
1,qa5,32k,S3,62,49,True,,0,False,False,,,,,,
1,qa5,32k,S4,62,49,True,,0,False,False,,,,,,
2,qa5,32k,S1,57,0;54,True,,0,False,False,,,,,,
2,qa5,32k,S2,57,0;54,True,,0,False,False,,,,,,
2,qa5,32k,S3,57,0;54,True,,0,False,False,,,,,,
2,qa5,32k,S4,57,0;54,True,,0,False,False,,,,,,
3,qa5,32k,S1,57,55,True,,0,False,False,,,,,,
3,qa5,32k,S2,57,55,True,,0,False,False,,,,,,
3,qa5,32k,S3,57,55,True,,0,False,False,,,,,,
3,qa5,32k,S4,57,55,True,,0,False,False,,,,,,
4,qa5,32k,S1,62,0;60,True,,0,False,False,,,,,,
4,qa5,32k,S2,62,0;60,True,,0,False,False,,,,,,
4,qa5,32k,S3,62,0;60,True,,0,False,False,,,,,,
4,qa5,32k,S4,62,0;60,True,,0,False,False,,,,,,
5,qa5,32k,S1,61,56,True,,0,False,False,,,,,,
5,qa5,32k,S2,61,56,True,,0,False,False,,,,,,
5,qa5,32k,S3,61,56,True,,0,False,False,,,,,,
5,qa5,32k,S4,61,56,True,,0,False,False,,,,,,
6,qa5,32k,S1,61,55,True,,0,False,False,,,,,,
6,qa5,32k,S2,61,55,True,,0,False,False,,,,,,
6,qa5,32k,S3,61,55,True,,0,False,False,,,,,,
6,qa5,32k,S4,61,55,True,,0,False,False,,,,,,
7,qa5,32k,S1,61,57,True,,0,False,False,,,,,,
7,qa5,32k,S2,61,57,True,,0,False,False,,,,,,
7,qa5,32k,S3,61,57,True,,0,False,False,,,,,,
7,qa5,32k,S4,61,57,True,,0,False,False,,,,,,
8,qa5,32k,S1,62,0;54,True,,0,False,False,,,,,,
8,qa5,32k,S2,62,0;54,True,,0,False,False,,,,,,
8,qa5,32k,S3,62,0;54,True,,0,False,False,,,,,,
8,qa5,32k,S4,62,0;54,True,,0,False,False,,,,,,
9,qa5,32k,S1,62,0;23,True,,0,False,False,,,,,,
9,qa5,32k,S2,62,0;23,True,,0,False,False,,,,,,
9,qa5,32k,S3,62,0;23,True,,0,False,False,,,,,,
9,qa5,32k,S4,62,0;23,True,,0,False,False,,,,,,
10,qa5,32k,S1,62,0;42,True,,0,False,False,,,,,,
10,qa5,32k,S2,62,0;42,True,,0,False,False,,,,,,
10,qa5,32k,S3,62,0;42,True,,0,False,False,,,,,,
10,qa5,32k,S4,62,0;42,True,,0,False,False,,,,,,
11,qa5,32k,S1,55,0;42,True,,0,False,False,,,,,,
11,qa5,32k,S2,55,0;42,True,,0,False,False,,,,,,
11,qa5,32k,S3,55,0;42,True,,0,False,False,,,,,,
11,qa5,32k,S4,55,0;42,True,,0,False,False,,,,,,
12,qa5,32k,S1,59,31;43,True,,0,False,False,,,,,,
12,qa5,32k,S2,59,31;43,True,,0,False,False,,,,,,
12,qa5,32k,S3,59,31;43,True,,0,False,False,,,,,,
12,qa5,32k,S4,59,31;43,True,,0,False,False,,,,,,
13,qa5,32k,S1,59,47,True,,0,False,False,,,,,,
13,qa5,32k,S2,59,47,True,,0,False,False,,,,,,
13,qa5,32k,S3,59,47,True,,0,False,False,,,,,,
13,qa5,32k,S4,59,47,True,,0,False,False,,,,,,
14,qa5,32k,S1,61,59,True,,0,False,False,,,,,,
14,qa5,32k,S2,61,59,True,,0,False,False,,,,,,
14,qa5,32k,S3,61,59,True,,0,False,False,,,,,,
14,qa5,32k,S4,61,59,True,,0,False,False,,,,,,
15,qa5,32k,S1,60,59,True,,0,False,False,,,,,,
15,qa5,32k,S2,60,59,True,,0,False,False,,,,,,
15,qa5,32k,S3,60,59,True,,0,False,False,,,,,,
15,qa5,32k,S4,60,59,True,,0,False,False,,,,,,
16,qa5,32k,S1,62,0;60,True,,0,False,False,,,,,,
16,qa5,32k,S2,62,0;60,True,,0,False,False,,,,,,
16,qa5,32k,S3,62,0;60,True,,0,False,False,,,,,,
16,qa5,32k,S4,62,0;60,True,,0,False,False,,,,,,
17,qa5,32k,S1,62,54,True,,0,False,False,,,,,,
17,qa5,32k,S2,62,54,True,,0,False,False,,,,,,
17,qa5,32k,S3,62,54,True,,0,False,False,,,,,,
17,qa5,32k,S4,62,54,True,,0,False,False,,,,,,
18,qa5,32k,S1,62,0;56,True,,0,False,False,,,,,,
18,qa5,32k,S2,62,0;56,True,,0,False,False,,,,,,
18,qa5,32k,S3,62,0;56,True,,0,False,False,,,,,,
18,qa5,32k,S4,62,0;56,True,,0,False,False,,,,,,
19,qa5,32k,S1,60,49,True,,0,False,False,,,,,,
19,qa5,32k,S2,60,49,True,,0,False,False,,,,,,
19,qa5,32k,S3,60,49,True,,0,False,False,,,,,,
19,qa5,32k,S4,60,49,True,,0,False,False,,,,,,
20,qa5,32k,S1,61,0;38,True,,0,False,False,,,,,,
20,qa5,32k,S2,61,0;38,True,,0,False,False,,,,,,
20,qa5,32k,S3,61,0;38,True,,0,False,False,,,,,,
20,qa5,32k,S4,61,0;38,True,,0,False,False,,,,,,
21,qa5,32k,S1,62,0;49,True,,0,False,False,,,,,,
21,qa5,32k,S2,62,0;49,True,,0,False,False,,,,,,
21,qa5,32k,S3,62,0;49,True,,0,False,False,,,,,,
21,qa5,32k,S4,62,0;49,True,,0,False,False,,,,,,
22,qa5,32k,S1,59,0;56,True,,0,False,False,,,,,,
22,qa5,32k,S2,59,0;56,True,,0,False,False,,,,,,
22,qa5,32k,S3,59,0;56,True,,0,False,False,,,,,,
22,qa5,32k,S4,59,0;56,True,,0,False,False,,,,,,
23,qa5,32k,S1,59,54,True,,0,False,False,,,,,,
23,qa5,32k,S2,59,54,True,,0,False,False,,,,,,
23,qa5,32k,S3,59,54,True,,0,False,False,,,,,,
23,qa5,32k,S4,59,54,True,,0,False,False,,,,,,
24,qa5,32k,S1,62,31;44,True,,0,False,False,,,,,,
24,qa5,32k,S2,62,31;44,True,,0,False,False,,,,,,
24,qa5,32k,S3,62,31;44,True,,0,False,False,,,,,,
24,qa5,32k,S4,62,31;44,True,,0,False,False,,,,,,
25,qa5,32k,S1,61,51,True,,0,False,False,,,,,,
25,qa5,32k,S2,61,51,True,,0,False,False,,,,,,
25,qa5,32k,S3,61,51,True,,0,False,False,,,,,,
25,qa5,32k,S4,61,51,True,,0,False,False,,,,,,
26,qa5,32k,S1,60,0;56,True,,0,False,False,,,,,,
26,qa5,32k,S2,60,0;56,True,,0,False,False,,,,,,
26,qa5,32k,S3,60,0;56,True,,0,False,False,,,,,,
26,qa5,32k,S4,60,0;56,True,,0,False,False,,,,,,
27,qa5,32k,S1,62,0;43,True,,0,False,False,,,,,,
27,qa5,32k,S2,62,0;43,True,,0,False,False,,,,,,
27,qa5,32k,S3,62,0;43,True,,0,False,False,,,,,,
27,qa5,32k,S4,62,0;43,True,,0,False,False,,,,,,
28,qa5,32k,S1,62,58;61,True,,0,False,False,,,,,,
28,qa5,32k,S2,62,58;61,True,,0,False,False,,,,,,
28,qa5,32k,S3,62,58;61,True,,0,False,False,,,,,,
28,qa5,32k,S4,62,58;61,True,,0,False,False,,,,,,
29,qa5,32k,S1,47,0;43,True,,0,False,False,,,,,,
29,qa5,32k,S2,47,0;43,True,,0,False,False,,,,,,
29,qa5,32k,S3,47,0;43,True,,0,False,False,,,,,,
29,qa5,32k,S4,47,0;43,True,,0,False,False,,,,,,
30,qa5,32k,S1,62,52,True,,0,False,False,,,,,,
30,qa5,32k,S2,62,52,True,,0,False,False,,,,,,
30,qa5,32k,S3,62,52,True,,0,False,False,,,,,,
30,qa5,32k,S4,62,52,True,,0,False,False,,,,,,
31,qa5,32k,S1,61,0;58,True,,0,False,False,,,,,,
31,qa5,32k,S2,61,0;58,True,,0,False,False,,,,,,
31,qa5,32k,S3,61,0;58,True,,0,False,False,,,,,,
31,qa5,32k,S4,61,0;58,True,,0,False,False,,,,,,
