idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
0,qa1,16k,31,20,True,30,True,21,0.7,15.4,0,0,0,0,0
2,qa1,16k,30,27,True,29,True,3,0.1034,15.207,0,0,1,1,1
4,qa1,16k,31,8;24,True,30,True,6,0.2,14.767,0,0,0,1,1
6,qa1,16k,30,12,True,29,True,18,0.6207,15.103,0,0,0,0,0
8,qa1,16k,31,1,True,30,True,10,0.3333,15.267,0,0,0,0,1
10,qa1,16k,31,10;29,True,30,True,1,0.0333,15.067,1,1,1,1,1
12,qa1,16k,32,30,True,31,True,20,0.6452,15.677,0,0,0,0,0
14,qa1,16k,31,15,True,30,True,7,0.2333,15.167,0,0,0,1,1
16,qa1,16k,29,23,True,28,True,20,0.7143,15.321,0,0,0,0,0
18,qa1,16k,29,26,True,28,True,9,0.3214,15.179,0,0,0,0,1
20,qa1,16k,31,27;29,True,30,True,6,0.2,14.267,0,0,0,1,1
22,qa1,16k,31,30,True,30,False,,,15.167,0,0,0,0,0
24,qa1,16k,31,13;17,True,30,True,3,0.1,14.733,0,0,1,1,1
26,qa1,16k,31,18;24,True,30,True,4,0.1333,14.867,0,0,1,1,1
28,qa1,16k,28,20,True,27,True,22,0.8148,14.704,0,0,0,0,0
30,qa1,16k,30,10,True,29,True,13,0.4483,15.414,0,0,0,0,1
32,qa1,16k,31,2;7,True,30,True,3,0.1,15.533,0,0,1,1,1
34,qa1,16k,31,24,True,30,True,4,0.1333,15.133,0,0,1,1,1
36,qa1,16k,31,28;30,True,30,True,4,0.1333,15.0,0,0,1,1,1
38,qa1,16k,29,22,True,28,True,26,0.9286,14.643,0,0,0,0,0
40,qa1,16k,30,15;29,True,29,True,26,0.8966,15.0,0,0,0,0,0
42,qa1,16k,31,9;16,True,30,True,2,0.0667,14.733,0,1,1,1,1
44,qa1,16k,29,22,True,28,True,22,0.7857,15.071,0,0,0,0,0
46,qa1,16k,31,29,True,30,True,1,0.0333,14.567,1,1,1,1,1
48,qa1,16k,31,10;26,True,30,True,6,0.2,14.367,0,0,0,1,1
50,qa1,16k,31,18;22,True,30,True,7,0.2333,14.933,0,0,0,1,1
52,qa1,16k,31,29,True,30,True,10,0.3333,14.833,0,0,0,0,1
54,qa1,16k,31,28,True,30,True,2,0.0667,15.467,0,1,1,1,1
56,qa1,16k,31,24;28,True,30,True,20,0.6667,14.533,0,0,0,0,0
58,qa1,16k,31,14,True,30,True,25,0.8333,15.533,0,0,0,0,0
60,qa1,16k,31,17,True,30,True,21,0.7,14.3,0,0,0,0,0
62,qa1,16k,31,23;27,True,30,True,15,0.5,14.567,0,0,0,0,1
64,qa1,16k,29,25,True,28,True,12,0.4286,14.714,0,0,0,0,1
66,qa1,16k,31,21,True,30,True,29,0.9667,14.833,0,0,0,0,0
68,qa1,16k,30,11,True,29,True,5,0.1724,15.414,0,0,0,1,1
70,qa1,16k,31,16,True,30,True,2,0.0667,15.267,0,1,1,1,1
72,qa1,16k,31,3,True,30,True,2,0.0667,14.867,0,1,1,1,1
74,qa1,16k,31,26,True,30,True,23,0.7667,15.433,0,0,0,0,0
76,qa1,16k,31,19;20,True,30,True,14,0.4667,15.133,0,0,0,0,1
78,qa1,16k,31,21,True,30,True,21,0.7,14.967,0,0,0,0,0
80,qa1,16k,31,29,True,30,True,2,0.0667,14.8,0,1,1,1,1
82,qa1,16k,31,20;23,True,30,True,12,0.4,14.933,0,0,0,0,1
84,qa1,16k,30,10,True,29,True,19,0.6552,14.793,0,0,0,0,0
86,qa1,16k,30,29,True,29,False,,,14.759,0,0,0,0,0
88,qa1,16k,30,28,True,29,True,21,0.7241,14.69,0,0,0,0,0
90,qa1,16k,31,14,True,30,True,19,0.6333,15.5,0,0,0,0,0
92,qa1,16k,31,22,True,30,True,30,1.0,15.533,0,0,0,0,0
94,qa1,16k,31,16;22,True,30,True,1,0.0333,14.833,1,1,1,1,1
96,qa1,16k,30,21;29,True,29,True,9,0.3103,15.207,0,0,0,0,1
98,qa1,16k,30,14,True,29,True,13,0.4483,15.103,0,0,0,0,1
