idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
1,qa1,16k,28,25,True,27,True,16,0.5926,14.481,0,0,0,0,1
3,qa1,16k,31,25,True,30,True,4,0.1333,14.533,0,0,1,1,1
5,qa1,16k,31,18,True,30,True,23,0.7667,14.267,0,0,0,0,0
7,qa1,16k,29,18,True,28,True,5,0.1786,15.036,0,0,0,1,1
9,qa1,16k,30,24;25,True,29,True,5,0.1724,14.69,0,0,0,1,1
11,qa1,16k,31,16,True,30,True,29,0.9667,15.167,0,0,0,0,0
13,qa1,16k,31,21,True,30,True,29,0.9667,15.3,0,0,0,0,0
15,qa1,16k,31,19;20,True,30,True,14,0.4667,15.067,0,0,0,0,1
17,qa1,16k,31,2,True,30,True,8,0.2667,14.7,0,0,0,1,1
19,qa1,16k,31,30,True,30,False,,,14.833,0,0,0,0,0
21,qa1,16k,31,8,True,30,True,6,0.2,14.967,0,0,0,1,1
23,qa1,16k,31,17,True,30,True,12,0.4,14.767,0,0,0,0,1
25,qa1,16k,30,16,True,29,True,3,0.1034,15.0,0,0,1,1,1
27,qa1,16k,28,25,True,27,True,21,0.7778,15.037,0,0,0,0,0
29,qa1,16k,31,12,True,30,True,16,0.5333,15.3,0,0,0,0,1
31,qa1,16k,29,6,True,28,True,5,0.1786,15.071,0,0,0,1,1
33,qa1,16k,30,23,True,29,True,3,0.1034,15.414,0,0,1,1,1
35,qa1,16k,29,7;19,True,28,True,12,0.4286,15.179,0,0,0,0,1
37,qa1,16k,31,5,True,30,True,14,0.4667,14.667,0,0,0,0,1
39,qa1,16k,31,15,True,30,True,10,0.3333,14.4,0,0,0,0,1
41,qa1,16k,30,1,True,29,True,13,0.4483,14.966,0,0,0,0,1
43,qa1,16k,31,22;28,True,30,True,7,0.2333,14.233,0,0,0,1,1
45,qa1,16k,29,23,True,28,True,27,0.9643,14.786,0,0,0,0,0
47,qa1,16k,29,24,True,28,True,5,0.1786,14.929,0,0,0,1,1
49,qa1,16k,31,7,True,30,True,15,0.5,15.2,0,0,0,0,1
51,qa1,16k,31,20,True,30,True,16,0.5333,15.0,0,0,0,0,1
53,qa1,16k,25,24,True,24,False,,,14.792,0,0,0,0,0
55,qa1,16k,31,30,True,30,False,,,15.667,0,0,0,0,0
57,qa1,16k,30,12;17,True,29,True,5,0.1724,15.0,0,0,0,1,1
59,qa1,16k,29,18,True,28,True,11,0.3929,15.0,0,0,0,0,1
61,qa1,16k,30,26,True,29,True,5,0.1724,14.897,0,0,0,1,1
63,qa1,16k,30,27,True,29,True,25,0.8621,15.103,0,0,0,0,0
65,qa1,16k,31,14;29,True,30,True,14,0.4667,14.467,0,0,0,0,1
67,qa1,16k,29,4,True,28,True,13,0.4643,15.429,0,0,0,0,1
69,qa1,16k,26,24,True,25,True,23,0.92,15.76,0,0,0,0,0
71,qa1,16k,29,28,True,28,False,,,14.964,0,0,0,0,0
73,qa1,16k,31,29,True,30,True,22,0.7333,15.367,0,0,0,0,0
75,qa1,16k,30,23,True,29,True,14,0.4828,15.069,0,0,0,0,1
77,qa1,16k,28,22,True,27,True,24,0.8889,15.333,0,0,0,0,0
79,qa1,16k,31,26,True,30,True,30,1.0,14.967,0,0,0,0,0
81,qa1,16k,31,17;24,True,30,True,16,0.5333,15.1,0,0,0,0,1
83,qa1,16k,31,2,True,30,True,21,0.7,14.9,0,0,0,0,0
85,qa1,16k,31,23,True,30,True,11,0.3667,15.233,0,0,0,0,1
87,qa1,16k,27,25,True,26,True,21,0.8077,14.346,0,0,0,0,0
89,qa1,16k,31,25,True,30,True,29,0.9667,14.5,0,0,0,0,0
91,qa1,16k,31,6;30,True,30,True,8,0.2667,15.167,0,0,0,1,1
93,qa1,16k,31,21,True,30,True,23,0.7667,14.267,0,0,0,0,0
95,qa1,16k,29,27,True,28,True,6,0.2143,15.143,0,0,0,1,1
97,qa1,16k,30,23,True,29,True,2,0.069,14.759,0,1,1,1,1
99,qa1,16k,31,0,True,30,True,30,1.0,15.333,0,0,0,0,0
