idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
0,qa5,16k,30,0;24,True,29,True,10,0.3448,15.586,0,0,0,0,1
2,qa5,16k,27,0;26,True,26,True,6,0.2308,14.885,0,0,0,1,1
4,qa5,16k,31,20;29,True,30,True,1,0.0333,14.333,1,1,1,1,1
6,qa5,16k,30,27,True,29,True,24,0.8276,15.207,0,0,0,0,0
8,qa5,16k,31,0;27,True,30,True,18,0.6,15.567,0,0,0,0,0
10,qa5,16k,31,0;19,True,30,True,23,0.7667,15.467,0,0,0,0,0
12,qa5,16k,31,23,True,30,True,26,0.8667,15.2,0,0,0,0,0
14,qa5,16k,30,29,True,29,False,,,15.345,0,0,0,0,0
16,qa5,16k,31,0;29,True,30,True,9,0.3,15.333,0,0,0,0,1
18,qa5,16k,31,0;27,True,30,True,19,0.6333,14.5,0,0,0,0,0
20,qa5,16k,31,0;20,True,30,True,8,0.2667,15.167,0,0,0,1,1
22,qa5,16k,31,0;29,True,30,True,7,0.2333,15.267,0,0,0,1,1
24,qa5,16k,31,22,True,30,True,5,0.1667,15.2,0,0,0,1,1
26,qa5,16k,30,0;27,True,29,True,8,0.2759,14.759,0,0,0,1,1
28,qa5,16k,29,0;26,True,28,True,1,0.0357,15.0,1,1,1,1,1
30,qa5,16k,30,23,True,29,True,16,0.5517,15.069,0,0,0,0,1
32,qa5,16k,31,0;28,True,30,True,15,0.5,14.867,0,0,0,0,1
34,qa5,16k,25,24,True,24,False,,,15.333,0,0,0,0,0
36,qa5,16k,31,0;30,True,30,True,27,0.9,15.067,0,0,0,0,0
38,qa5,16k,31,29;30,True,30,True,17,0.5667,14.9,0,0,0,0,0
40,qa5,16k,31,25,True,30,True,1,0.0333,14.8,1,1,1,1,1
42,qa5,16k,28,0;26,True,27,True,2,0.0741,14.815,0,1,1,1,1
44,qa5,16k,30,0;27,True,29,True,8,0.2759,15.276,0,0,0,1,1
46,qa5,16k,30,0;29,True,29,True,29,1.0,15.069,0,0,0,0,0
48,qa5,16k,31,0;29,True,30,True,7,0.2333,14.6,0,0,0,1,1
50,qa5,16k,30,26,True,29,True,15,0.5172,15.138,0,0,0,0,1
52,qa5,16k,27,14,True,26,True,18,0.6923,14.962,0,0,0,0,0
54,qa5,16k,31,0;29,True,30,True,5,0.1667,15.033,0,0,0,1,1
56,qa5,16k,31,30,True,30,False,,,14.067,0,0,0,0,0
58,qa5,16k,27,0;26,True,26,True,9,0.3462,15.385,0,0,0,0,1
60,qa5,16k,31,0;20,True,30,True,13,0.4333,15.267,0,0,0,0,1
62,qa5,16k,31,6;29,True,30,True,13,0.4333,15.133,0,0,0,0,1
64,qa5,16k,31,20,True,30,True,20,0.6667,14.7,0,0,0,0,0
66,qa5,16k,31,0;30,True,30,True,19,0.6333,15.2,0,0,0,0,0
68,qa5,16k,29,22,True,28,True,20,0.7143,14.679,0,0,0,0,0
70,qa5,16k,31,30,True,30,False,,,14.8,0,0,0,0,0
72,qa5,16k,30,0;25,True,29,True,5,0.1724,14.966,0,0,0,1,1
74,qa5,16k,31,0;22,True,30,True,1,0.0333,14.733,1,1,1,1,1
76,qa5,16k,29,28,True,28,False,,,14.964,0,0,0,0,0
78,qa5,16k,29,0;28,True,28,True,16,0.5714,14.571,0,0,0,0,1
80,qa5,16k,31,0;20,True,30,True,7,0.2333,15.033,0,0,0,1,1
82,qa5,16k,30,0;26,True,29,True,4,0.1379,14.552,0,0,1,1,1
84,qa5,16k,31,12;30,True,30,True,11,0.3667,15.233,0,0,0,0,1
86,qa5,16k,27,0;12,True,26,True,7,0.2692,15.0,0,0,0,1,1
88,qa5,16k,30,27,True,29,True,2,0.069,14.862,0,1,1,1,1
90,qa5,16k,31,0;25,True,30,True,20,0.6667,14.767,0,0,0,0,0
92,qa5,16k,27,25,True,26,True,10,0.3846,14.269,0,0,0,0,1
94,qa5,16k,29,26,True,28,True,6,0.2143,15.357,0,0,0,1,1
96,qa5,16k,30,0;27,True,29,True,5,0.1724,15.586,0,0,0,1,1
98,qa5,16k,30,27,True,29,True,2,0.069,15.31,0,1,1,1,1
