idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
0,qa5,32k,60,0;49,True,59,True,39,0.661,14.797,0,0,0,0,0
2,qa5,32k,57,0;54,True,56,True,15,0.2679,14.893,0,0,0,0,1
4,qa5,32k,62,0;60,True,61,True,29,0.4754,15.525,0,0,0,0,0
6,qa5,32k,61,55,True,60,True,36,0.6,15.0,0,0,0,0,0
8,qa5,32k,62,0;54,True,61,True,8,0.1311,14.656,0,0,0,1,1
10,qa5,32k,62,0;42,True,61,True,2,0.0328,14.967,0,1,1,1,1
12,qa5,32k,59,31;43,True,58,True,40,0.6897,15.052,0,0,0,0,0
14,qa5,32k,61,59,True,60,True,3,0.05,15.15,0,0,1,1,1
16,qa5,32k,62,0;60,True,61,True,26,0.4262,14.885,0,0,0,0,0
18,qa5,32k,62,0;56,True,61,True,51,0.8361,15.0,0,0,0,0,0
20,qa5,32k,61,0;38,True,60,True,15,0.25,15.05,0,0,0,0,1
22,qa5,32k,59,0;56,True,58,True,14,0.2414,15.034,0,0,0,0,1
24,qa5,32k,62,31;44,True,61,True,10,0.1639,15.41,0,0,0,0,1
26,qa5,32k,60,0;56,True,59,True,8,0.1356,14.864,0,0,0,1,1
28,qa5,32k,62,58;61,True,61,True,28,0.459,15.115,0,0,0,0,0
30,qa5,32k,62,52,True,61,True,43,0.7049,15.393,0,0,0,0,0
32,qa5,32k,62,0;59,True,61,True,22,0.3607,15.311,0,0,0,0,0
34,qa5,32k,62,61,True,61,False,,,15.033,0,0,0,0,0
36,qa5,32k,57,0;56,True,56,True,56,1.0,15.179,0,0,0,0,0
38,qa5,32k,62,0;60,True,61,True,11,0.1803,14.393,0,0,0,0,1
40,qa5,32k,62,50,True,61,True,51,0.8361,14.82,0,0,0,0,0
42,qa5,32k,60,0;55,True,59,True,44,0.7458,14.797,0,0,0,0,0
44,qa5,32k,62,0;57,True,61,True,37,0.6066,15.443,0,0,0,0,0
46,qa5,32k,58,0;57,True,57,True,28,0.4912,15.175,0,0,0,0,0
48,qa5,32k,62,0;59,True,61,True,27,0.4426,14.934,0,0,0,0,0
50,qa5,32k,52,47,True,51,True,20,0.3922,15.627,0,0,0,0,0
52,qa5,32k,62,39,True,61,True,47,0.7705,15.18,0,0,0,0,0
54,qa5,32k,61,0;56,True,60,True,27,0.45,15.1,0,0,0,0,0
56,qa5,32k,62,60,True,61,True,19,0.3115,14.787,0,0,0,0,0
58,qa5,32k,62,0;61,True,61,True,61,1.0,15.377,0,0,0,0,0
60,qa5,32k,60,0;41,True,59,True,1,0.0169,15.051,1,1,1,1,1
62,qa5,32k,61,59,True,60,True,7,0.1167,15.183,0,0,0,1,1
64,qa5,32k,61,50,True,60,True,49,0.8167,14.833,0,0,0,0,0
66,qa5,32k,57,0;56,True,56,True,56,1.0,14.875,0,0,0,0,0
68,qa5,32k,62,46,True,61,True,17,0.2787,14.967,0,0,0,0,0
70,qa5,32k,61,60,True,60,False,,,15.65,0,0,0,0,0
72,qa5,32k,61,0;60,True,60,True,60,1.0,15.083,0,0,0,0,0
74,qa5,32k,59,0;44,True,58,True,26,0.4483,15.379,0,0,0,0,0
76,qa5,32k,62,59,True,61,True,14,0.2295,14.918,0,0,0,0,1
78,qa5,32k,62,0;61,True,61,True,28,0.459,14.754,0,0,0,0,0
80,qa5,32k,58,0;32,True,57,True,15,0.2632,14.877,0,0,0,0,1
82,qa5,32k,61,0;50,True,60,True,4,0.0667,14.967,0,0,1,1,1
84,qa5,32k,62,0;60,True,61,True,21,0.3443,14.475,0,0,0,0,0
86,qa5,32k,63,0;39,True,62,True,49,0.7903,15.129,0,0,0,0,0
88,qa5,32k,61,55,True,60,True,58,0.9667,15.433,0,0,0,0,0
90,qa5,32k,62,0;48,True,61,True,20,0.3279,15.525,0,0,0,0,0
92,qa5,32k,61,57,True,60,True,55,0.9167,14.983,0,0,0,0,0
94,qa5,32k,62,58,True,61,True,11,0.1803,15.508,0,0,0,0,1
96,qa5,32k,62,10;57,True,61,True,7,0.1148,15.508,0,0,0,1,1
98,qa5,32k,62,58,True,61,True,33,0.541,14.738,0,0,0,0,0
