idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
1,qa5,32k,62,49,True,61,True,55,0.9016,14.787,0,0,0,0,0
3,qa5,32k,57,55,True,56,True,39,0.6964,14.768,0,0,0,0,0
5,qa5,32k,61,56,True,60,True,3,0.05,14.733,0,0,1,1,1
7,qa5,32k,61,57,True,60,True,32,0.5333,15.0,0,0,0,0,0
9,qa5,32k,62,0;23,True,61,True,24,0.3934,15.082,0,0,0,0,0
11,qa5,32k,55,0;42,True,54,True,6,0.1111,14.87,0,0,0,1,1
13,qa5,32k,59,47,True,58,True,19,0.3276,15.397,0,0,0,0,0
15,qa5,32k,60,59,True,59,False,,,14.831,0,0,0,0,0
17,qa5,32k,62,54,True,61,True,27,0.4426,14.77,0,0,0,0,0
19,qa5,32k,60,49,True,59,True,13,0.2203,14.983,0,0,0,0,1
21,qa5,32k,62,0;49,True,61,True,52,0.8525,15.098,0,0,0,0,0
23,qa5,32k,59,54,True,58,True,20,0.3448,15.483,0,0,0,0,0
25,qa5,32k,61,51,True,60,True,13,0.2167,14.467,0,0,0,0,1
27,qa5,32k,62,0;43,True,61,True,4,0.0656,14.131,0,0,1,1,1
29,qa5,32k,47,0;43,True,46,True,8,0.1739,14.783,0,0,0,1,1
31,qa5,32k,61,0;58,True,60,True,27,0.45,15.1,0,0,0,0,0
33,qa5,32k,62,51,True,61,True,37,0.6066,15.541,0,0,0,0,0
35,qa5,32k,62,38,True,61,True,9,0.1475,14.902,0,0,0,0,1
37,qa5,32k,62,51,True,61,True,49,0.8033,14.689,0,0,0,0,0
39,qa5,32k,59,58,True,58,False,,,14.793,0,0,0,0,0
41,qa5,32k,57,0;53,True,56,True,4,0.0714,14.893,0,0,1,1,1
43,qa5,32k,62,0;57,True,61,True,5,0.082,14.902,0,0,0,1,1
45,qa5,32k,58,53,True,57,True,18,0.3158,15.123,0,0,0,0,0
47,qa5,32k,60,0;56,True,59,True,27,0.4576,15.305,0,0,0,0,0
49,qa5,32k,62,61,True,61,False,,,14.639,0,0,0,0,0
51,qa5,32k,53,45;48,True,52,True,4,0.0769,15.423,0,0,1,1,1
53,qa5,32k,62,61,True,61,False,,,14.689,0,0,0,0,0
55,qa5,32k,61,0;53,True,60,True,17,0.2833,14.7,0,0,0,0,0
57,qa5,32k,61,42;55,True,60,True,22,0.3667,14.417,0,0,0,0,0
59,qa5,32k,55,0;53,True,54,True,1,0.0185,14.704,1,1,1,1,1
61,qa5,32k,62,0;59,True,61,True,20,0.3279,14.836,0,0,0,0,0
63,qa5,32k,61,0;56,True,60,True,35,0.5833,14.533,0,0,0,0,0
65,qa5,32k,58,0;54,True,57,True,37,0.6491,14.368,0,0,0,0,0
67,qa5,32k,62,58,True,61,True,37,0.6066,14.984,0,0,0,0,0
69,qa5,32k,62,0;54,True,61,True,31,0.5082,14.869,0,0,0,0,0
71,qa5,32k,62,57,True,61,True,34,0.5574,15.148,0,0,0,0,0
73,qa5,32k,60,35,True,59,True,54,0.9153,15.0,0,0,0,0,0
75,qa5,32k,61,57,True,60,True,32,0.5333,14.967,0,0,0,0,0
77,qa5,32k,54,0;50,True,53,True,4,0.0755,15.189,0,0,1,1,1
79,qa5,32k,62,56,True,61,True,49,0.8033,14.984,0,0,0,0,0
81,qa5,32k,62,45,True,61,True,43,0.7049,14.82,0,0,0,0,0
83,qa5,32k,61,18;58,True,60,True,36,0.6,14.817,0,0,0,0,0
85,qa5,32k,62,51,True,61,True,23,0.377,14.574,0,0,0,0,0
87,qa5,32k,58,45;54,True,57,True,12,0.2105,14.912,0,0,0,0,1
89,qa5,32k,62,0;60,True,61,True,28,0.459,14.426,0,0,0,0,0
91,qa5,32k,61,0;56,True,60,True,12,0.2,14.683,0,0,0,0,1
93,qa5,32k,59,45,True,58,True,2,0.0345,14.862,0,1,1,1,1
95,qa5,32k,62,0;51,True,61,True,20,0.3279,15.246,0,0,0,0,0
97,qa5,32k,60,0;58,True,59,True,35,0.5932,14.508,0,0,0,0,0
99,qa5,32k,62,0;52,True,61,True,23,0.377,15.0,0,0,0,0,0
