idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
0,qa1,32k,62,40,True,61,True,39,0.6393,14.197,0,0,0,0,0
2,qa1,32k,61,56,True,60,True,15,0.25,14.783,0,0,0,0,1
4,qa1,32k,60,20,True,59,True,36,0.6102,15.458,0,0,0,0,0
6,qa1,32k,62,27,True,61,True,32,0.5246,15.0,0,0,0,0,0
8,qa1,32k,62,39,True,61,True,22,0.3607,14.934,0,0,0,0,0
10,qa1,32k,62,23;59,True,61,True,47,0.7705,15.344,0,0,0,0,0
12,qa1,32k,62,58,True,61,True,17,0.2787,15.279,0,0,0,0,0
14,qa1,32k,60,36,True,59,True,25,0.4237,14.678,0,0,0,0,0
16,qa1,32k,62,49,True,61,True,32,0.5246,15.0,0,0,0,0,0
18,qa1,32k,59,56,True,58,True,19,0.3276,15.086,0,0,0,0,0
20,qa1,32k,60,41;58,True,59,True,37,0.6271,15.203,0,0,0,0,0
22,qa1,32k,58,42;57,True,57,True,24,0.4211,15.193,0,0,0,0,0
24,qa1,32k,62,29;38,True,61,True,9,0.1475,15.016,0,0,0,0,1
26,qa1,32k,61,33,True,60,True,40,0.6667,14.617,0,0,0,0,0
28,qa1,32k,60,45,True,59,True,43,0.7288,15.254,0,0,0,0,0
30,qa1,32k,62,23,True,61,True,48,0.7869,14.77,0,0,0,0,0
32,qa1,32k,62,27;35,True,61,True,6,0.0984,14.984,0,0,0,1,1
34,qa1,32k,62,51,True,61,True,45,0.7377,14.984,0,0,0,0,0
36,qa1,32k,62,58,True,61,True,38,0.623,14.689,0,0,0,0,0
38,qa1,32k,61,45;50,True,60,True,16,0.2667,15.133,0,0,0,0,1
40,qa1,32k,58,25;56,True,57,True,3,0.0526,14.684,0,0,1,1,1
42,qa1,32k,62,54,True,61,True,54,0.8852,15.131,0,0,0,0,0
44,qa1,32k,58,48,True,57,True,40,0.7018,14.789,0,0,0,0,0
46,qa1,32k,57,53,True,56,True,23,0.4107,15.089,0,0,0,0,0
48,qa1,32k,61,52,True,60,True,59,0.9833,15.267,0,0,0,0,0
50,qa1,32k,62,25,True,61,True,28,0.459,15.295,0,0,0,0,0
52,qa1,32k,61,57,True,60,True,31,0.5167,14.75,0,0,0,0,0
54,qa1,32k,62,58,True,61,True,20,0.3279,15.213,0,0,0,0,0
56,qa1,32k,61,29;39,True,60,True,26,0.4333,14.7,0,0,0,0,0
58,qa1,32k,62,30,True,61,True,57,0.9344,15.016,0,0,0,0,0
60,qa1,32k,57,11;24,True,56,True,4,0.0714,15.375,0,0,1,1,1
62,qa1,32k,61,47,True,60,True,47,0.7833,15.1,0,0,0,0,0
64,qa1,32k,58,47,True,57,True,56,0.9825,15.193,0,0,0,0,0
66,qa1,32k,57,21,True,56,True,51,0.9107,15.518,0,0,0,0,0
68,qa1,32k,54,26;41,True,53,True,4,0.0755,14.717,0,0,1,1,1
70,qa1,32k,62,31,True,61,True,23,0.377,15.115,0,0,0,0,0
72,qa1,32k,55,15;25,True,54,True,16,0.2963,14.63,0,0,0,0,1
74,qa1,32k,58,50,True,57,True,26,0.4561,15.07,0,0,0,0,0
76,qa1,32k,62,23;41,True,61,True,9,0.1475,14.361,0,0,0,0,1
78,qa1,32k,62,29;53,True,61,True,4,0.0656,14.754,0,0,1,1,1
80,qa1,32k,62,47;57,True,61,True,32,0.5246,14.623,0,0,0,0,0
82,qa1,32k,60,39,True,59,True,41,0.6949,15.203,0,0,0,0,0
84,qa1,32k,58,5;18,True,57,True,9,0.1579,14.842,0,0,0,0,1
86,qa1,32k,63,21,True,62,True,33,0.5323,15.226,0,0,0,0,0
88,qa1,32k,63,55,True,62,True,17,0.2742,15.371,0,0,0,0,0
90,qa1,32k,59,57;58,True,58,True,43,0.7414,15.0,0,0,0,0,0
92,qa1,32k,62,37;46,True,61,True,1,0.0164,15.016,1,1,1,1,1
94,qa1,32k,61,34,True,60,True,41,0.6833,15.033,0,0,0,0,0
96,qa1,32k,60,57,True,59,True,42,0.7119,14.695,0,0,0,0,0
98,qa1,32k,62,36,True,61,True,50,0.8197,15.344,0,0,0,0,0
