idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
1,qa1,32k,61,57,True,60,True,20,0.3333,14.95,0,0,0,0,0
3,qa1,32k,62,51,True,61,True,30,0.4918,15.049,0,0,0,0,0
5,qa1,32k,61,47,True,60,True,15,0.25,14.833,0,0,0,0,1
7,qa1,32k,60,34,True,59,True,28,0.4746,14.644,0,0,0,0,0
9,qa1,32k,62,51;58,True,61,True,12,0.1967,14.475,0,0,0,0,1
11,qa1,32k,61,35,True,60,True,12,0.2,14.883,0,0,0,0,1
13,qa1,32k,60,41,True,59,True,22,0.3729,14.814,0,0,0,0,0
15,qa1,32k,62,35;46,True,61,True,18,0.2951,15.311,0,0,0,0,0
17,qa1,32k,61,36,True,60,True,22,0.3667,14.833,0,0,0,0,0
19,qa1,32k,62,30;59,True,61,True,27,0.4426,14.492,0,0,0,0,0
21,qa1,32k,61,15;59,True,60,True,1,0.0167,15.417,1,1,1,1,1
23,qa1,32k,62,36;59,True,61,True,1,0.0164,15.033,1,1,1,1,1
25,qa1,32k,63,32,True,62,True,53,0.8548,15.548,0,0,0,0,0
27,qa1,32k,62,57,True,61,True,45,0.7377,15.016,0,0,0,0,0
29,qa1,32k,59,28,True,58,True,28,0.4828,15.138,0,0,0,0,0
31,qa1,32k,62,11,True,61,True,34,0.5574,15.115,0,0,0,0,0
33,qa1,32k,62,51,True,61,True,46,0.7541,15.361,0,0,0,0,0
35,qa1,32k,56,37,True,55,True,23,0.4182,15.036,0,0,0,0,0
37,qa1,32k,61,11,True,60,True,27,0.45,14.95,0,0,0,0,0
39,qa1,32k,61,23,True,60,True,47,0.7833,14.633,0,0,0,0,0
41,qa1,32k,62,6,True,61,True,43,0.7049,14.721,0,0,0,0,0
43,qa1,32k,61,38;56,True,60,True,4,0.0667,15.1,0,0,1,1,1
45,qa1,32k,61,57,True,60,True,44,0.7333,14.85,0,0,0,0,0
47,qa1,32k,62,47;54,True,61,True,6,0.0984,14.82,0,0,0,1,1
49,qa1,32k,62,14;45,True,61,True,36,0.5902,15.197,0,0,0,0,0
51,qa1,32k,61,38,True,60,True,51,0.85,15.083,0,0,0,0,0
53,qa1,32k,62,55,True,61,True,41,0.6721,15.098,0,0,0,0,0
55,qa1,32k,61,48;60,True,60,True,47,0.7833,14.85,0,0,0,0,0
57,qa1,32k,62,35;50,True,61,True,21,0.3443,15.361,0,0,0,0,0
59,qa1,32k,59,1;40,True,58,True,10,0.1724,15.138,0,0,0,0,1
61,qa1,32k,62,56,True,61,True,6,0.0984,14.918,0,0,0,1,1
63,qa1,32k,62,57,True,61,True,38,0.623,15.213,0,0,0,0,0
65,qa1,32k,62,56,True,61,True,31,0.5082,14.672,0,0,0,0,0
67,qa1,32k,61,18;37,True,60,True,11,0.1833,15.55,0,0,0,0,1
69,qa1,32k,62,57,True,61,True,32,0.5246,15.016,0,0,0,0,0
71,qa1,32k,62,59,True,61,True,41,0.6721,14.951,0,0,0,0,0
73,qa1,32k,61,12;57,True,60,True,2,0.0333,15.25,0,1,1,1,1
75,qa1,32k,60,48,True,59,True,11,0.1864,15.153,0,0,0,0,1
77,qa1,32k,61,52,True,60,True,52,0.8667,15.683,0,0,0,0,0
79,qa1,32k,62,53,True,61,True,13,0.2131,14.623,0,0,0,0,1
81,qa1,32k,61,16;37,True,60,True,8,0.1333,14.733,0,0,0,1,1
83,qa1,32k,47,2,True,46,True,41,0.8913,14.957,0,0,0,0,0
85,qa1,32k,57,45,True,56,True,40,0.7143,14.768,0,0,0,0,0
87,qa1,32k,62,29;60,True,61,True,17,0.2787,15.098,0,0,0,0,0
89,qa1,32k,62,40,True,61,True,61,1.0,15.41,0,0,0,0,0
91,qa1,32k,59,57,True,58,True,7,0.1207,15.241,0,0,0,1,1
93,qa1,32k,60,41,True,59,True,55,0.9322,15.186,0,0,0,0,0
95,qa1,32k,61,57,True,60,True,9,0.15,14.75,0,0,0,0,1
97,qa1,32k,61,46;55,True,60,True,5,0.0833,14.517,0,0,0,1,1
99,qa1,32k,62,1,True,61,True,16,0.2623,14.705,0,0,0,0,1
