convention,arm,axis,demoted,unsettled,reported,reported_intact,null,residual_arm_pp,residual_intact_pp,frac_recovered,diff_mean_pp,diff_lower95_one_sided_pp,delta_pp,ni_accept
split,keep7f2_step200000,triviaqa,False,False,0.095854,0.406877,0.002564,9.3290,40.4313,0.2307,-31.1023,-31.6986,4.0431,False
split,keep7f2_step200000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
split,keep7f2_step200000,mmlu_content,False,False,0.324384,0.386839,0.284450,3.9934,10.2389,0.3900,-6.2455,-6.8010,1.0239,False
split,keep7f2_step200000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2548,0.9695,False
split,cpt20k_step205000,triviaqa,False,False,0.091005,0.406877,0.002564,8.8442,40.4313,0.2187,-31.5872,-32.1835,4.0431,False
split,cpt20k_step205000,popqa,False,False,0.035887,0.154973,0.022920,1.2967,13.2053,0.0982,-11.9086,-12.3712,1.3205,False
split,cpt20k_step205000,mmlu_content,False,False,0.323245,0.386839,0.284450,3.8794,10.2389,0.3789,-6.3595,-6.9150,1.0239,False
split,cpt20k_step205000,nq_open,True,False,0.029640,0.102493,0.005540,2.4100,9.6953,0.2486,-7.2853,-8.1163,0.9695,False
split,cpt20k_step210000,triviaqa,False,False,0.099588,0.406877,0.002564,9.7024,40.4313,0.2400,-30.7289,-31.3252,4.0431,False
split,cpt20k_step210000,popqa,False,False,0.041004,0.154973,0.022920,1.8084,13.2053,0.1369,-11.3969,-11.8876,1.3205,False
split,cpt20k_step210000,mmlu_content,False,False,0.322034,0.386839,0.284450,3.7584,10.2389,0.3671,-6.4806,-7.0503,1.0239,False
split,cpt20k_step210000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2008,0.9695,False
split,cpt20k_step215000,triviaqa,False,False,0.095687,0.406877,0.002564,9.3123,40.4313,0.2303,-31.1190,-31.7045,4.0431,False
split,cpt20k_step215000,popqa,False,False,0.038971,0.154973,0.022920,1.6051,13.2053,0.1215,-11.6002,-12.0838,1.3205,False
split,cpt20k_step215000,mmlu_content,False,False,0.323245,0.386839,0.284450,3.8794,10.2389,0.3789,-6.3595,-6.9221,1.0239,False
split,cpt20k_step215000,nq_open,True,False,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
split,cpt20k_step220000,triviaqa,False,False,0.100646,0.406877,0.002564,9.8083,40.4313,0.2426,-30.6230,-31.2193,4.0431,False
split,cpt20k_step220000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
