target,output,question
kitchen,"(1. The first of the
The is the
The is the
The is the",Where is the football? 
garden,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
bedroom,"(1. The first, the
The is the
The is the
The is the",Where is the apple? 
bedroom,"(1. The first, and the
The is the
The is the
The is the",Where is the apple? 
kitchen,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
hallway,"(the first, the
The is the
The is the
The is the
The is",Where is the apple? 
kitchen,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
garden,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
bedroom,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
bathroom,"(1. The first, the
The is the
The is the
The is the",Where is the milk? 
bathroom,"(1. The first, and the
The is the
The is the
The is the",Where is the football? 
bedroom,"(1. The first, the
The is the
The is the
The is the",Where is the milk? 
bathroom,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
kitchen,"(1. The first, the
The is the
The is the
The is the",Where is the football? 
bedroom,"(the first

The is a. The
The is a. The
The is a.",Where is the apple? 
garden,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
bedroom,"(1)

The is the

The is the

The is the

The is the

The",Where is the football? 
bedroom,"(the first, the
The the
The the
The the
The the
The is",Where is the apple? 
garden,"(the
The is a
The is a
The is a
The is a
The",Where is the milk? 
garden,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
office,"(the first

The is the

The is the

The is the

The is the",Where is the apple? 
bedroom,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
garden,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
bathroom,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
office,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
garden,"(1. The first
The is the
The is the
The is the
The is",Where is the football? 
garden,"(1. The first, the
The is the
The is the
The is the",Where is the football? 
bedroom,"(the first

The is a. The first

The is the

The is the

The",Where is the apple? 
hallway,"(the first, the
The is the
The is the
The is the
The is",Where is the apple? 
hallway,"(the first

The is the
The is the
The is the
The is the",Where is the apple? 
hallway,"(the first, the
The the
The is the
The is the
The is the",Where is the apple? 
garden,"(1. The
The is the
The is the
The is the
The is the",Where is the football? 
hallway,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
kitchen,"(1. The first, and the
The is the
The is the
The is the",Where is the football? 
hallway,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
kitchen,"(the first, the
The is the
The is the
The is the
The is",Where is the apple? 
office,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
hallway,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
bathroom,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
bathroom,"(1. The first, the
The is the
The is the
The is the",Where is the milk? 
bathroom,"(1. The first, and the
The is the
The is the
The is the",Where is the football? 
hallway,"(1. The first, the
The is the
The is the
The is the",Where is the football? 
garden,"(1. The first, the
The is the
The is the
The is the",Where is the apple? 
bedroom,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
kitchen,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
bedroom,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
hallway,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
garden,"(1. The first of the
The is the
The is the
The is the",Where is the milk? 
kitchen,"(1. The first, the
The is the
The is the
The is the",Where is the football? 
bathroom,"(1. The first, the
The is the
The is the
The is the",Where is the football? 
garden,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
bedroom,"(1)

The is the

The is the

The is the

The is the

The",Where is the apple? 
hallway,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
hallway,"(1. The first, the
The is the
The is the
The is the",Where is the milk? 
office,"(1. The
The is the
The is the
The is the
The is the",Where is the milk? 
kitchen,"(1. The first, and the
The is the
The is the
The is the",Where is the apple? 
bathroom,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
bathroom,<br> <br> <br> <br> <br> <br> <br,Where is the milk? 
office,"(1. The first, and the
The is the
The is the
The is the",Where is the football? 
garden,"(1)

The is the

The is the

The is the

The is the

The",Where is the football? 
kitchen,"(the first

The is the

The is the

The is the

The is the",Where is the apple? 
bathroom,"(1. The first, the
The is the
The is the
The is the",Where is the apple? 
garden,"(1) The first, and the
The is the
The is the
The is the",Where is the football? 
