"target","output","question"
"Jeff","Answer: Fred gave the football to the football team. Question: Who did Fred give the football to","Who did Fred give the football to? "
"Fred","Answer: The milkman. Question: Who received the milk? Answer: The milkman.","Who received the milk? "
"Jeff","Answer: The milkman. Question: Who gave the milk to Fred? Answer: The milkman","Who gave the milk to Fred? "
"milk","Answer: Nothing. Question: What did Bill give to Mary? Answer: Nothing. Question: What","What did Mary give to Bill? "
"Mary","Answer: The football was received by the rebels. Question: Who received the football? Answer","Who received the football? "
"Fred","Answer: Jeff gave the milk to Jeff.  Question: Who gave the milk to Jeff? Answer:","Who gave the milk to Jeff? "
"milk","Answer: Nothing. Question: What did Bill give to Jeff? Answer: Nothing. Question:","What did Jeff give to Bill? "
"Fred","Answer: The little finger. Question: Who ate the apple? Answer: The middle finger. Question","Who received the apple? "
"Fred","Answer: Mary gave the apple to Mary. Question: Who gave the apple to Mary? Answer","Who gave the apple to Mary? "
"Jeff","Answer: Jeff, minister of Denton, in Sussex, a living in my brother's gift.","Who gave the milk? "
"milk","Answer: Nothing. Question: What did Mary give to Fred? Answer: Nothing. Question: What","What did Fred give to Mary? "
"Fred","Answer: Bill gave the apple to himself. Question: Who gave the apple to Bill?","Who gave the apple to Bill? "
"Mary","Answer: Alfred. Question: Who received the football? Answer: Alfred. Question: Who received","Who received the football? "
"apple","Answer: A. A. A. A. A. A. A. A. A.","What did Fred give to Bill? "
"Bill","Answer: Fulton. Question: Who gave the football to Fred? Answer: Fulton. Question: Who","Who gave the football to Fred? "
"Fred","Answer: Jeff gave the football to Jeff. Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"milk","Answer: Nothing. Question: What did Fred give to Mary? Answer: Nothing. Question: What","What did Mary give to Fred? "
"Bill","Answer: Who did Fred give the apple to? Question: Who did Fred give the apple to","Who did Fred give the apple to? "
"Fred","Answer: The milkman. Question: Who gave the milkman? Answer: The milkman.","Who gave the milk? "
"Bill","Answer: The giant. Question: Who weighed the ounces? Answer: The giant. Question:","Who gave the apple? "
"Mary","Answer: Jeff gave the apple to the baby. Question: Who did the baby give the apple","Who did Jeff give the apple to? "
"Mary","Answer: Fred. Question: Who gave the milk? Answer: Fred. Question: Who gave the","Who gave the milk? "
"milk","Answer: Nothing. Question: What did Bill give to Fred? Answer: Nothing. Question: What","What did Fred give to Bill? "
"Bill","Answer: Jeff gave the football to Jeff.  Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"Mary","Answer: Jeff gave the milk to Jeff.  Question: Who gave the milk to Jeff? Answer:","Who gave the milk to Jeff? "
