"target","output","question"
"Jeff","Bill","Who did Fred give the football to? "
"Bill","Fred","Who did Mary give the milk to? "
"Jeff","Jeff","Who did Fred give the milk to? "
"milk","milk","What did Mary give to Fred? "
"Fred","Mary","Who received the milk? "
"apple","What did Mary give Jeff?","What did Mary give to Jeff? "
"apple","(Not set) Mary gave Jeff a book. Mary gave Jeff a book. Mary gave Jeff a","What did Mary give to Jeff? "
"apple","(context) Fred, what did you give Bill?","What did Fred give to Bill? "
"Jeff","Mary","Who gave the milk to Fred? "
"Fred","Who gave the apple to Mary?","Who gave the apple to Mary? "
"Jeff","Mary","Who received the football? "
"Jeff","Fred","Who did Mary give the football to? "
"milk","Mary gave Bill a book.","What did Mary give to Bill? "
"Bill","Fred","Who did Mary give the milk to? "
"milk","milk","What did Mary give to Bill? "
"apple","Fred gave Mary a book. Question: What did Fred give to Mary? Fred gave Mary a book","What did Fred give to Mary? "
"Mary","Who received the football?","Who received the football? "
"apple","apple","What did Fred give to Bill? "
"Jeff","Mary","Who received the apple? "
"Bill","Bill","Who did Mary give the football to? "
"Fred","Mary","Who gave the milk to Jeff? "
"Mary","Fred","Who received the milk? "
"Mary","Mary","Who gave the milk? "
"milk","A rose","What did Bill give to Mary? "
"milk","Jeff gave Bill a book. Jeff gave Bill a book. Jeff gave Bill a book. Jeff gave","What did Jeff give to Bill? "
"football","nothing","What did Jeff give to Fred? "
"Mary","Fred","Who gave the football? "
"Mary","Mary.","Who gave the apple to Bill? "
"Fred","The letter E.","Who received the apple? "
"Mary","Mary","Who gave the milk to Bill? "
"milk","(1) A (2) B (3) C (4) D","What did Mary give to Jeff? "
"Mary","Jeff","Who gave the milk? "
"Fred","Fred","Who gave the apple to Mary? "
"football","(None) nothing","What did Bill give to Mary? "
"apple","(What did Fred give Mary?) Answer: An apple. (Answer: An apple.) Mary:","What did Fred give to Mary? "
"apple","$5","What did Fred give to Bill? "
"Jeff","Fred","Who gave the milk? "
"Bill","Fred","Who did Mary give the apple to? "
"Fred","Fred","Who gave the football to Mary? "
"milk","milk","What did Mary give to Fred? "
"milk","apple","What did Fred give to Mary? "
"Mary","Fred","Who gave the football? "
"Fred","Bill","Who received the apple? "
"Mary","Mary","Who gave the apple? "
"Fred","Mary","Who gave the apple to Bill? "
"apple","(A) Nothing. (B) Something. (C) Nothing. (D) Something.","What did Fred give to Bill? "
"Fred","Fred. Fred received the apple. Fred received the apple. Fred received the apple. Fred received the","Who received the apple? "
"Fred","Mary","Who received the milk? "
"Mary","Fred","Who received the football? "
"apple","apple","What did Bill give to Mary? "
"apple","(1) a letter (2) a letter (3) a letter (4) a letter","What did Mary give to Fred? "
"apple","milk","What did Fred give to Bill? "
"apple","(None) Fred gave Bill nothing. Question: What did Fred give to Bill? (None)","What did Fred give to Bill? "
"milk","A duck. Question: What did Jeff give to Fred? A duck. Question: What did Jeff","What did Jeff give to Fred? "
"Mary","Mary","Who received the milk? "
"Jeff","Bill","Who gave the football? "
"Bill","Bill","Who gave the football to Fred? "
"Mary","Jeff","Who received the football? "
"Mary","Mary","Who gave the football to Fred? "
"Jeff","Jeff","Who did Bill give the milk to? "
"Fred","Mary","Who gave the football to Jeff? "
"Jeff","Mary","Who gave the apple to Fred? "
"Bill","Mary","Who received the milk? "
"Jeff","Mary","Who did Bill give the apple to? "
"milk","book","What did Mary give to Fred? "
"Jeff","Fred","Who received the apple? "
"Jeff","Jeff","Who gave the apple to Bill? "
"apple","apple","What did Mary give to Fred? "
"Bill","Mary","Who did Fred give the apple to? "
"Jeff","Mary","Who gave the apple? "
"Bill","Bill (new)","Who gave the milk to Fred? "
"Bill","Mary","Who did Jeff give the football to? "
"Fred","(Video)","Who gave the milk? "
"apple","(None)","What did Mary give to Bill? "
"Jeff","(not: Who received the milk?)","Who received the milk? "
"Bill","Mary. Fred gave the milk to Mary. Fred gave the milk to Mary. Fred gave the milk","Who did Fred give the milk to? "
"Bill","Mary.","Who gave the apple? "
"Jeff","Bill","Who gave the apple? "
"Fred","Mary","Who received the football? "
"football","What did Mary give to Fred? What did Mary give to Fred? What did Mary give to Fred","What did Mary give to Fred? "
"Mary","Mary","Who did Jeff give the apple to? "
"football","(context) Jeff gave Mary a cow.","What did Jeff give to Mary? "
"Mary","Fred","Who received the milk? "
"milk","apple","What did Mary give to Fred? "
"Mary","(context) Fred","Who gave the milk? "
"Bill","Mary: Who gave the milk to Mary? Mary: Who gave the milk to Mary? Mary:","Who gave the milk to Mary? "
"Mary","(video game) Mary (video game)","Who received the football? "
"Fred","Fred","Who gave the apple? "
"milk","apple","What did Fred give to Bill? "
"Fred","Mary","Who did Bill give the milk to? "
"Jeff","Who gave the apple? Who gave the apple? Who gave the apple? Who gave the apple?","Who gave the apple? "
"Fred","Mary. Bill. Fred. Bill. Mary. Fred. Bill. Mary. Fred. Bill.","Who did Bill give the apple to? "
"Bill","Fred. Question: Who gave the football to Bill? Fred. Question: Who gave the football to","Who gave the football to Jeff? "
"Bill","Mary","Who did Jeff give the apple to? "
"milk","Bill: Mary: Mary: Mary: Mary: Mary: Mary: Mary: Mary: Mary:","What did Mary give to Bill? "
"Mary","Mary","Who did Bill give the milk to? "
"Mary","Jeff","Who gave the milk to Jeff? "
"Fred","Mary","Who gave the milk? "
"Bill","The cat.","Who received the milk? "
"Fred","Fred","Who gave the football? "
