"target","output","question"
"milk","Answer: A bottle of milk.  Question: What did Jeff give to Mary? Answer: A bottle","What did Mary give to Fred? "
"apple","Answer: A large apple. Question: What did Fred give to Ruby? Answer: A large apple","What did Fred give to Bill? "
"Jeff","Answer: Mary gave the football to the little boy who lives next door. Question: Who did","Who did Mary give the football to? "
"apple","Answer: A box of apples. Question: What did Mary give to Fred? Answer: A box","What did Fred give to Mary? "
"Bill","Answer: Horace Boyce. Question: Who did Mary give the football to? Answer: Hor","Who did Mary give the football to? "
"milk","Answer: A pair of stockings. Question: What did Mary give to Bill? Answer: A pair","What did Bill give to Mary? "
"Mary","Answer: Miss Maggie. Question: Who gave the apple to Bill? Answer: Miss Maggie. Question","Who gave the apple to Bill? "
"Mary","Answer: Mary Bryant. Question: Who took the milk? Answer: Jeff. Question: Who drank","Who gave the milk? "
"apple","Answer: A pair of socks. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"milk","Answer: A piece of cake. Question: What did Fred give to Mary? Answer: A piece","What did Mary give to Fred? "
"Mary","Answer: The boys. Question: Who bought the apple? Answer: The boys. Question: Who","Who gave the apple? "
"Fred","Answer: Jeff. Question: Who passed it to Fred? Answer: Jeff. Question: Who drank","Who received the milk? "
"apple","Answer: An apple. Question: What did Fred give to Bill? Answer: An apple.","What did Fred give to Bill? "
"Jeff","Answer: The football was given by the football. Question: Who kicked it? Answer: The","Who gave the football? "
"Jeff","Answer: Jeff. Question: Who did Bill give the milk to? Answer: Jeff. Question:","Who did Bill give the milk to? "
"Jeff","Answer: To Jeff, the boy who works in the office. Question: Who is the old","Who did Bill give the apple to? "
"apple","Answer: A box of chocolates. Question: What did Fred give to Mary? Answer: A box","What did Mary give to Fred? "
"Bill","Answer: Bill. [Illustration: THE CONFEDERATE GENERAL WINDER  COPYRIGHT BY","Who did Jeff give the football to? "
"Bill","Answer: Yuba Bill. Question: Who did Fred give the milk to? Answer: Yuba","Who did Fred give the milk to? "
"football","Answer: A pair of slippers. Question: What did Fred give to Mary? Answer: A","What did Mary give to Fred? "
"milk","Answer: A box of chocolates. Question: What did Fred give to Mary? Answer: A box","What did Mary give to Fred? "
"Fred","Answer: The apple was given by the author's mother, who, however, declined to give","Who gave the apple? "
"Fred","Answer: To Fred. Chapter 24  The 'Open-air'   The next morning, when Owen","Who did Bill give the apple to? "
"Mary","Answer: The cat. Question: Who did Bill give the milk to? Answer: The cat","Who did Bill give the milk to? "
"Fred","Answer: Jeff. Question: Who fed the chickens? Answer: Carmen. Question: Who swept the","Who gave the football? "
