"target","output","question","orig_chunk","full_chunk"
"Bill","Answer: Mary gave the milk to Bill. Jeff went to the garden. Jeff journeyed to the","Who did Mary give the milk to? ","{5}","{4, 5}"
"milk","Answer: Mary gave the milk to Fred. Jeff got the milk there. But fearing lest want of","What did Mary give to Fred? ","{7}","{6}"
"apple","Answer: The apple. Question: What did Alfred do? Answer: He made a quick move toward","What did Mary give to Jeff? ","{7}","{7}"
"apple","Answer: The apple. Question: What did Jeff give to Fred? Answer: The apple. Question","What did Fred give to Bill? ","{6}","{6}"
"Fred","Answer: Jeff. Question: Who gave the apple to Fred? Answer: Mary. Question: Who","Who gave the apple to Mary? ","{3}","{3}"
"Jeff","Answer: Jeff. Question: Who gave the football to Mary? Answer: Jeff. Question: Who","Who did Mary give the football to? ","{6}","{5}"
"Bill","Answer: Bill. Question: Who did Mary give the milk to? Answer: Bill. Question:","Who did Mary give the milk to? ","{5}","{5}"
"apple","Answer: The apple. Question: What did the old woman do? Answer: She looked at the","What did Fred give to Mary? ","{6}","{6}"
"apple","Answer: The apple. Question: What did Bill do with the apple? Answer: He passed it","What did Fred give to Bill? ","{6}","{5}"
"Bill","Answer: Bill. Question: What did Don Carlo do when he saw the girl? Answer: He","Who did Mary give the football to? ","{6}","{5}"
"Mary","Answer: Mary. Question: Who gave the milk to Fred? Answer: Mary. Question: Who","Who received the milk? ","{5}","{4, 5}"
"milk","Answer: The milk. Question: What did Mary pass to Bill? Answer: The milk. Question","What did Bill give to Mary? ","{6}","{5}"
"football","Answer: The football. Question: What did Jeff give to Fred? Answer: The football. Question","What did Jeff give to Fred? ","{6}","{3, 6}"
"Mary","Answer: Mary gave the apple to Bill. Question: Who gave the apple to Bill? Answer:","Who gave the apple to Bill? ","{5}","{4, 5}"
"Mary","Answer: Mary handed the milk to Bill. Question: Who gave the milk to Bill? Answer:","Who gave the milk to Bill? ","{6}","{6}"
"Mary","Answer: Mary handed the milk there. Question: Who handed the milk there? Answer: Mary passed","Who gave the milk? ","{6}","{6}"
"football","Answer: The apple. Question: What did Jeff travel to? Answer: The kitchen. Question:","What did Bill give to Mary? ","{6}","{6}"
"apple","Answer: The apple. Question: What did Bill give to Fred? Answer: The apple. Question","What did Fred give to Bill? ","{4}","{2}"
"Bill","Answer: Bill. Question: What did Fred give to Bill? Answer: The apple. Question:","Who did Mary give the apple to? ","{6}","{6}"
"milk","Answer: The apple. Question: What did Mary give to Fred? Answer: The apple. Question","What did Mary give to Fred? ","{6}","{6}"
"Mary","Answer: Mary. Question: Who gave the football? Answer: Fred. Question: Who gave the","Who gave the football? ","{6}","{3}"
"Mary","Answer: Mary. Question: Who gave the apple? Answer: Mary. Question: Who gave the","Who gave the apple? ","{6}","{6}"
"apple","Answer: the apple. Question: What did Mary go to? Answer: the office. Question:","What did Fred give to Bill? ","{7}","{7}"
"Fred","Answer: Fred. Question: Who went to the office? Answer: Jeff. Question: Who journey","Who received the milk? ","{6}","{5, 6}"
"apple","Answer: The apple. Question: What did Bill do? Answer: He picked up the apple there","What did Bill give to Mary? ","{7}","{7}"
"apple","Answer: The apple. Question: What did Mary give to Fred? Answer: The apple. Question","What did Fred give to Bill? ","{6}","{6}"
"milk","Answer: The apple. Question: What did Jeff give to Bill? Answer: The apple. Question","What did Jeff give to Fred? ","{7}","{7}"
"Jeff","Answer: Jeff. Question: Who was talking in bad French to the consul's lady? Answer:","Who gave the football? ","{6}","{5}"
"Mary","Answer: Jeff. Question: Who was talking in the bedroom? Answer: Jeff. Question: Who","Who received the football? ","{4}","{4}"
"Jeff","Answer: Jeff. Question: Who did Jeff give the milk to? Answer: Bill. Question:","Who did Bill give the milk to? ","{5}","{5}"
"Jeff","Answer: Jeff. Question: Who discarded the apple? Answer: Jeff. Question: Who discarded the","Who gave the apple to Fred? ","{0, 6}","{6}"
"Jeff","Answer: Jeff. Question: Who discarded the apple? Answer: Fred. Question: Who discarded the","Who did Bill give the apple to? ","{6}","{6}"
"Jeff","Answer: Jeff. Question: Who discarded the apple? Answer: Fred. Question: Who discarded the","Who received the apple? ","{6}","{6}"
"apple","Answer: the apple. Question: What did Ed cut? Answer: a strip of adhesive plaster.","What did Mary give to Fred? ","{7}","{7}"
"Jeff","Answer: Mary gave the apple. Question: Who gave the apple? Answer: Mary gave the apple","Who gave the apple? ","{6}","{6}"
"Bill","Answer: Bill. Question: Who gave the apple to Bill? Answer: Jeff. Question: Who","Who did Jeff give the football to? ","{6}","{6}"
"apple","Answer: A lock of her hair. Question: What did Bill give to Mary? Answer: A","What did Mary give to Bill? ","{4}","{4}"
