target,output,question
bedroom,"(2015





















The take the take the take",What is the bathroom east of?
kitchen,"(2015

















The

The take the take the take",What is south of the office?
garden,"(2015















The

The take the take the take the",What is north of the office?
garden,"(2015



















The take the take the take the",What is the bedroom north of?
garden,"(2015



















The take the take the take the",What is the bathroom south of?
office,"(2015

























import => => =>",What is north of the bedroom?
bathroom,"(2015

















The take the take the take the take",What is north of the garden?
bedroom,"(2015

















The take the

The take the take",What is west of the office?
kitchen,"(2015



















The take the

import => =>",What is the garden south of?
bathroom,"(2015























import => => => =>",What is the hallway north of?
bedroom,"(2015

















The take the take the take the take",What is south of the hallway?
office,"(2015





















The take the take the take",What is east of the bedroom?
hallway,"(2015























The take the take the",What is north of the garden?
bedroom,"(2015















The

The take the take the take the",What is the garden west of?
hallway,"(2015

























The take the take",What is east of the bathroom?
bathroom,"(2015























The take the take the",What is the office west of?
bathroom,"(2015

















The take the take the take the take",What is west of the bedroom?
kitchen,"Answer

























The take the take the take",What is north of the hallway?
bathroom,"(2015

















The take the take the take the take",What is south of the kitchen?
office,"(2015

















The

The take the take the take",What is south of the bedroom?
bedroom,"(2015





















The take the take the take",What is west of the hallway?
office,"(2015

















The take the

The take the take",What is east of the bedroom?
bedroom,"(2015

















The

The take the take the take",What is the hallway south of?
kitchen,"(2015



















The

The take the take the",What is west of the bedroom?
bedroom,"(2015























import => => => =>",What is south of the bathroom?
hallway,"(2015





















The take the take the take",What is west of the bathroom?
office,"(2015





















import => => => => =>",What is south of the hallway?
bedroom,"(2015























The take the take the",What is east of the office?
garden,"(2015























The take the take the",What is west of the bathroom?
kitchen,"(2015



















The

The take the take the",What is the garden north of?
office,"(2015



















The take the take the take the",What is east of the garden?
bathroom,"(2015





















The take the

import =>",What is south of the hallway?
garden,"(2015















The

The take the take the take the",What is east of the office?
bedroom,"(2015

















The

The take the take the take",What is south of the hallway?
garden,"(2015























The take the take the",What is the hallway east of?
kitchen,"(2015



















The take the take the take the",What is south of the hallway?
bathroom,"(2015

















The

The take the take the take",What is the kitchen west of?
kitchen,"(2015























The take the take the",What is the bathroom west of?
bathroom,"(2015





















The

The take the take",What is the garden south of?
bedroom,"(2015





















The take the take the take",What is the garden south of?
bedroom,"(2015























import => => => =>",What is west of the bathroom?
garden,"(2015





















The take the take the take",What is west of the office?
bathroom,"(2015





















The take the take the take",What is west of the hallway?
hallway,"Answer



























The take the take the",What is north of the kitchen?
bathroom,"(2015

























import => => =>",What is the hallway north of?
office,"(2015























The take the take the",What is the bedroom south of?
kitchen,"(2015

















The take the take the take the take",What is west of the office?
bedroom,"(2015

















The

The take the take the take",What is south of the office?
office,"(2015

















The

The take the take the take",What is the kitchen east of?
hallway,"(2015



















The take the

The take the",What is south of the bathroom?
hallway,"(2015





















The take the take the take",What is east of the bathroom?
bathroom,"(2015





















The take the take the take",What is the office south of?
office,"(2015























import => => => =>",What is the hallway east of?
kitchen,"(2015

















The

The take the take the take",What is the bedroom south of?
kitchen,"(2015

















The

The take the take the take",What is the hallway west of?
bathroom,"(2015

















The

The take the take the take",What is the bedroom east of?
bedroom,"(2015



















The take the take the take the",What is the kitchen south of?
office,"(2015



















The take the take the take the",What is the kitchen west of?
kitchen,"(2015



















The take the

import => =>",What is the hallway south of?
office,"(2015





















The take the take the take",What is the bedroom east of?
bathroom,"(2015





















The take the take the take",What is east of the kitchen?
kitchen,"(2015

















The

The take the take the take",What is the bathroom south of?
bedroom,"(2015





















The take the take the take",What is the kitchen north of?
kitchen,"(2015























The take the take the",What is the garden east of?
kitchen,"(2015



















The

The take the take the",What is south of the hallway?
kitchen,"(2015





















import and the take the take",What is the garden east of?
hallway,"(2015





















The take the take the take",What is north of the garden?
garden,"(2015





















The take the take the take",What is the bedroom south of?
garden,"(2015

















The

The take the take the take",What is the hallway south of?
office,"(2015























import => => => =>",What is west of the kitchen?
bedroom,"(2015























import and the take the",What is east of the office?
hallway,"(2015

















The

The take the take the take",What is south of the kitchen?
bedroom,"(2015





















The take the take the take",What is east of the garden?
bedroom,"(2015



















The take the

import => =>",What is west of the kitchen?
kitchen,"(2015























The take the take the",What is the office west of?
bathroom,"(2015





















The take the take the take",What is the bedroom west of?
office,"(2015

















The

The take the take the take",What is the bathroom south of?
hallway,"(2015

















The

The take the take the take",What is north of the garden?
bathroom,"(2015

















The

import and the take the take",What is west of the bedroom?
kitchen,"(2015

















The

The take the take the take",What is the bedroom north of?
bedroom,"(2015

















The

The take the take the take",What is the kitchen east of?
garden,"(2015





















The take the take the take",What is the bathroom east of?
hallway,"(2015



















The take the take the take the",What is the garden west of?
kitchen,"(2015





















The take the take the take",What is the office north of?
bedroom,"(2015



















The take the

import => =>",What is east of the bathroom?
kitchen,"(2015





















The take the take the take",What is the garden east of?
kitchen,"(2015























The take the take the",What is the hallway west of?
bathroom,"(2015

















The

The take the take the take",What is east of the garden?
hallway,"(2015

















The take the

The take the take",What is the office north of?
bathroom,"(2015

















The



The take the take the",What is east of the office?
bathroom,"(2015

















The take the

import => => =>",What is north of the garden?
hallway,"(2015























The take the take the",What is east of the bedroom?
kitchen,"(2015

















The take the

import => => =>",What is south of the hallway?
hallway,"(2015



















The take the take the take the",What is north of the garden?
kitchen,"(2015





















The take the take the take",What is the bathroom west of?
bathroom,"(2015























import => => => =>",What is the garden north of?
bathroom,"(2015



















The take the take the take the",What is south of the bedroom?
bathroom,"(2015























import => => => =>",What is west of the bedroom?
bedroom,"(2015



























import => =>",What is the hallway south of?
kitchen,"(2015



















The take the take the take the",What is north of the bedroom?
