"target","output","question","orig_chunk","full_chunk"
"Bill","Mary gave the milk to Bill. Mary passed the milk to Bill. Mary gave the milk to Bill","Who did Mary give the milk to? ","{24}","{24, 21}"
"milk","Answer: the milk. Question: What did Macloud say about the two who passed them? Answer","What did Mary give to Fred? ","{29}","{27}"
"apple","What did she give to Arne? What did she give to Nils?

Question: What did","What did Mary give to Jeff? ","{26}","{26}"
"apple","Answer: An apple.

Question: What did Fred give to Bill? Answer: An apple.

Question","What did Fred give to Bill? ","{27}","{27}"
"Fred","Answer: Fred gave the apple to Mary.

Question: Who gave the apple to Fred? Answer:","Who gave the apple to Mary? ","{8}","{8}"
"Jeff","Mary gave the football to Jeff.

Question: Who did Jeff give the football to? Jeff discarded the","Who did Mary give the football to? ","{23}","{19, 21}"
"Bill","Answer: Bill.

Question: What did Heywood say? Answer: ""Very.""

Question: What","Who did Mary give the milk to? ","{25}","{23}"
"apple","Answer: the apple. Mary travelled to the hallway. 136;
      his boys' letters,","What did Fred give to Mary? ","{25}","{25}"
"apple","What did he give to the bishop? What did he give to the bishop's daughter? What did","What did Fred give to Bill? ","{27}","{22}"
"Bill","Answer: Bill. Question: What did Angeline do when Asaph was threatened with a severe fever","Who did Mary give the football to? ","{22}","{20}"
"Mary","Mary. Fred. Amy. Webb.

Question:","Who received the milk? ","{23}","{21, 23}"
"milk","A. the milk B. the milk and the milk and the milk and the milk and the milk","What did Bill give to Mary? ","{26}","{23}"
"football","Fred gave the football to Jeff. Jeff gave the football to Fred. Fred gave the football to Jeff","What did Jeff give to Fred? ","{24}","{24, 13}"
"Mary","Answer: Mary. Question: Who handed the apple to Bill? Answer: Mary. Question: Who","Who gave the apple to Bill? ","{17}","{17, 15}"
"Mary","Answer: Mary. Question: Who was the Comptroller of the Inner Temple? Answer: Bill","Who gave the milk to Bill? ","{25}","{25}"
"Mary","12mo, cloth, price $1.00. The story of two English lads who","Who gave the milk? ","{27}","{27}"
"football","Answer: The apple.

Question: What did Mary give to Bill? Answer: The football.

Question","What did Bill give to Mary? ","{27}","{27}"
"apple","A. The apple. B. The apple to Bill. C. The apple to Bill. D","What did Fred give to Bill? ","{15}","{10}"
"Bill","A. Chris B. Bill C. Miss Trotter D. Judge Boompointer

Question: What","Who did Mary give the apple to? ","{25}","{25}"
"milk","What did Owen do to accomplish the same object?

Question: What did Owen do to accomplish the same","What did Mary give to Fred? ","{29}","{29}"
"Mary","Mary handed the football to Fred. Fred handed the football to Mary. They would remember me, of","Who gave the football? ","{25}","{15}"
"Mary","What was the result?

Question: What was the result?

Question: What was the result?

Question","Who gave the apple? ","{27}","{25}"
"apple","Answer: Fred gave the apple to Bill.

Question: What did Fred give to Bill? Answer:","What did Fred give to Bill? ","{28}","{28}"
"Fred","Fred. Jeff handed the milk to Fred. Fred handed the milk to Jeff. Fred handed the milk","Who received the milk? ","{25, 26}","{24, 26}"
"apple","""Well, Maggie, I'm going to tell you
the whole story, and you can tell","What did Bill give to Mary? ","{30}","{30}"
"apple","Answer: the apple.

Question: What did Eli say she wished? Answer: it were summer.","What did Fred give to Bill? ","{27}","{27}"
"milk","""The milk to Fred."" ""The milk to Fred."" ""The milk to Fred."" ""The","What did Jeff give to Fred? ","{30}","{30}"
"Jeff","Answer: Jeff. Why is a man who wears a wig like a poem of Tennyson's","Who gave the football? ","{26}","{22}"
"Mary","Fred gave the football to Mary. No Aunt Tidman flickers a smile at me! I","Who received the football? ","{21}","{18, 21}"
"Jeff","""I have been thinking,"" I said, ""and I have come to the conclusion
that you","Who did Bill give the milk to? ","{30}","{30}"
"Jeff","Jeff. Fred. The King. The Mayor. The Bishop. The Secretary. The
Mayor and","Who gave the apple to Fred? ","{0, 29}","{28}"
"Jeff","""I mean that, instead of leaving the country, Mr. Clavering has
not left","Who did Bill give the apple to? ","{28}","{28}"
"Jeff","Answer: Fred gave the apple to Jeff. Fred gave the apple to Jeff. Fred gave the apple","Who received the apple? ","{28}","{28}"
"apple","[Footnote 184: _The
Australian bush all your days. Poor, dear Dolly","What did Mary give to Fred? ","{29}","{29}"
"Jeff","Answer: Charles gave the apple. Question: Who was the Cornish born? Answer: Jeff was","Who gave the apple? ","{27}","{27}"
"Bill","Answer: Bill. Jeff gave the football to Bill. 'Tis enough to have laid one of","Who did Jeff give the football to? ","{26}","{26}"
"apple","a. the apple b. the apple and the apple and the apple and the apple and the apple","What did Mary give to Bill? ","{15}","{15}"
"Bill","Answer: Bill. Question: What did Fred do with the milk? Answer: Fred passed the milk","Who did Fred give the milk to? ","{28}","{27}"
"Jeff","Answer: George III. Question: Who received the apple? Answer: George Washington. Question: Who","Who gave the apple? ","{27}","{27}"
"football","What was the figure of a bird, decked with party-feathers, so as to resemble a","What did Mary give to Fred? ","{27}","{22}"
"football","for circulars and full particulars. Address:

M. J. LAWRENCE, Ed. [","What did Jeff give to Mary? ","{21}","{21}"
"milk","What did she do with the milk?

Answer: Mary gave the milk to Fred. She passed the","What did Mary give to Fred? ","{29}","{29, 23}"
"Bill","What was the name of the girl in the blue serge dress?

Question: What was the name of","Who gave the milk to Mary? ","{27}","{27}"
"Fred","Answer: Mary. Question: Who was the doctor? Answer: O'Shaughnessy.","Who gave the apple? ","{23}","{23}"
"Fred","Fred. Bill gave the milk to Fred. *       *       *       *       *

A Question","Who did Bill give the milk to? ","{27}","{17, 27}"
"Fred","Fred. ""How else COULD I steal a baby?"" Zoie looked at the unfortunate creature as","Who did Bill give the apple to? ","{28}","{28}"
"Bill","What did he say to Bill?

Answer: He gave the apple to Bill. He said to Bill","Who did Jeff give the apple to? ","{25}","{25}"
"Mary","_Publius_ _Publius_ _Publius_ _Publius_ _Publius_","Who did Bill give the milk to? ","{23}","{21}"
"Fred","Mary or Fred?

Answer: Mary.

Question: Who handed the milk to Mary? Fred.

Answer","Who gave the milk? ","{27}","{25, 19}"
"Fred","Answer: Fred handed the football to Bill. The young fellow’s heart has gone out with one of","Who gave the football? ","{23}","{23}"
