"target","output","question","orig_chunk","full_chunk"
"Jeff","Fred gave the football to Jeff. Jeff gave the football to Fred. Jeff gave the football to Fred","Who did Fred give the football to? ","{24}","{21, 13}"
"Jeff","Mary went back to the hallway. She had become larger, and more powerful, somehow, than the","Who did Fred give the milk to? ","{25}","{25}"
"Fred","Answer: Fred

Question: Who was the brave chauffeur? Answer: Jeff

Question: Who","Who received the milk? ","{20, 29}","{18}"
"apple","What did she give to Arne? What did she give to the girl? What did she give","What did Mary give to Jeff? ","{27}","{26}"
"Jeff","Fred gave the milk to Fred. There was only one I would have, and her he took away","Who gave the milk to Fred? ","{27}","{26}"
"Jeff","Answer: Jeff. he! Mary gave the football to Jeff. he!

Question: Who is the","Who received the football? ","{19}","{19}"
"milk","in that case the choice will soon be made. The incumbent of Danicourt is one of the","What did Mary give to Bill? ","{22}","{22}"
"milk","A. the milk B. the cream C. the butter D. the cheese

Question: What","What did Mary give to Bill? ","{29}","{29}"
"Mary","Mary. Fred went to the bedroom. I visited the slaughter-house again, and found the walls of","Who received the football? ","{29}","{25}"
"Jeff","Answer: Sidney

Question: What was the name of the village eight miles from Redfield? Answer","Who received the apple? ","{27}","{23}"
"Fred","A. Fred B. Eily C. Jeff D. Phelim

Question: What did E","Who gave the milk to Jeff? ","{20}","{20}"
"Mary","Mary handed the milk to Fred. Mary handed the milk to Fred. Mary handed the milk to Fred","Who gave the milk? ","{28}","{28, 23}"
"milk","What did Mary do? What did Jeff do? What did Mary do? What did Jeff do?","What did Jeff give to Bill? ","{22}","{22}"
"Mary","Answer: Ruby red.

Question: Who gave the football to Jack Kirke? Answer: Ruby red","Who gave the football? ","{27}","{16}"
"Fred","Fred. Mary. Fred. Fred. Fred. Fred. Fred. Fred. Fred. Fred.","Who received the apple? ","{26}","{26}"
"milk","A. a pot of beer B. a pot of milk C. a pot of tea D.","What did Mary give to Jeff? ","{23}","{23}"
"Fred","Fred. Mary discarded the milk. When I went to do this I found Captain M'Donald's","Who gave the apple to Mary? ","{28}","{28}"
"apple","Mary gave Fred the apple. Mary gave Fred the apple. Mary gave Fred the apple. Mary gave","What did Fred give to Mary? ","{24}","{24}"
"Jeff","A. Fred. Edwards B. Jeff B. Fred. Edwards C. Jeff D. Jeff","Who gave the milk? ","{30}","{30}"
"Fred","""Fred handed the football to Mary."" ""Fred handed the football to Mary."" ""Fred handed the","Who gave the football to Mary? ","{28, 30}","{30}"
"milk","What did he do with his clothes? What did he do with his clothes? What did he do","What did Fred give to Mary? ","{25}","{13}"
"Fred","Fred or Jeff?

Question: What is the name of the periodical mentioned in the text?

Question","Who received the apple? ","{25}","{11}"
"Fred","Answer: Fred gave the apple to Bill.

Question: Who was the centre of intrigues? Answer","Who gave the apple to Bill? ","{27}","{27}"
"Fred","Fred. Mary went to the bathroom. _Hul_ is the
tempest, the whirl","Who received the apple? ","{29}","{29}"
"Mary","Answer: Fred passed the football to Mary. Question: Who was the officer? Answer: The officer","Who received the football? ","{29}","{29}"
"apple","""I'll go with you,"" said Mathilde. and, with their arms round each other's","What did Mary give to Fred? ","{26}","{26}"
"apple","What did he give to Bill?

Question: What did Fred give to Bill? What did he give","What did Fred give to Bill? ","{14}","{14}"
"Mary","Jerry, the Sioux Chief, Jerry, the Sioux Chief, Jerry, the Sioux Chief, Jerry,","Who received the milk? ","{29}","{29}"
"Bill","Answer: Bill handed the football to Fred. Smith had regained his
air of aggrieved irritation.","Who gave the football to Fred? ","{29}","{20, 29}"
"Mary","Mary gave the football to Fred. Mary gave the football to Fred. Mary gave the football to Fred","Who gave the football to Fred? ","{26}","{26}"
"Fred","Fred gave the football to Jeff.

Question: Who gave the football to Jeff? Fred gave the football","Who gave the football to Jeff? ","{20}","{12}"
"Bill","Bill. They were planning that Henry Sydney should be appointed Lord of Misrule, or ordained Abbot","Who received the milk? ","{29, 5}","{29}"
"milk","What did she give to Fred?

Answer: Mary gave Fred a handkerchief.

Question: What","What did Mary give to Fred? ","{20}","{15}"
"Jeff","The answer is Fez. The
answer is Fez. The answer is Fez. The","Who gave the apple to Bill? ","{30}","{30}"
"Bill","Bill or Tabitha?

Question: Who was the parson’s wife? Mrs. Turner or","Who did Fred give the apple to? ","{22}","{17, 22}"
"Bill","Answer: Bill.

Question: Who was the voice of a female in great terror and distress? Answer","Who gave the milk to Fred? ","{30}","{20}"
"Fred","A","Who gave the milk? ","{25}","{25}"
"Jeff","Jeff. Bill gave the milk to Jeff.

Question: Who was the housekeeper? The housekeeper","Who received the milk? ","{22}","{15}"
"Bill","Mary gave the apple to Bill. Mary gave the apple to Bill. Mary gave the apple to Bill","Who gave the apple? ","{27}","{26, 27, 22}"
"Fred","Fred. Mary gave the football to Fred.

Question: Who was the first voice? Horace’s","Who received the football? ","{27}","{27}"
"Mary","Mary

Question: What did Mary do with the apple? Put down the apple

Question: What","Who did Jeff give the apple to? ","{19}","{19}"
"Mary","Answer: Mary.

Question: Who gave the milk? Answer: Jeff.

Question: Who gave the","Who received the milk? ","{26}","{20}"
"Mary","Mary gave the milk to Fred. Mary gave the milk to Fred. Mary gave the milk to Fred","Who gave the milk? ","{11, 29}","{24, 27, 29}"
"Mary","Mary. Why is the palace of the Louvre the cheapest ever erected? Because it was built for","Who received the football? ","{12}","{12}"
"milk","""I simply picked him up and tossed him over
my head. I shall turn myself into Forty","What did Fred give to Bill? ","{27}","{27}"
"Jeff","1. Alfred","Who gave the apple? ","{25}","{25}"
"Bill","Sam

Question: What did Sam say when the boys crawled out of the narrow opening? I’m","Who gave the football to Jeff? ","{25}","{15}"
"milk","Question: What was the name of the Carthaginian captive?




Question: What was","What did Mary give to Bill? ","{26}","{26}"
"Mary","Mary gave the milk to Jeff. The
responsibility of Ministers is not a legal responsibility, but","Who gave the milk to Jeff? ","{27}","{27, 15}"
"Bill","Bill. Mary passed the milk to Bill. The companions of Abd-el-Kader in a storm,","Who received the milk? ","{27}","{27}"
