"target","output","question"
"garden","Answer: The milk is in the bathroom. Sandra put down the milk. Sandra put down the milk","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen. Question: Where is the milk? Answer: The milk","Where is the milk? "
"bedroom","HENRICO  In the kitchen. Daniel journeyed to the kitchen. EMIL GREL","Where is the apple? "
"garden","The football is in the garden. The football is in the garden. The football is in the garden","Where is the football? "
"kitchen","Answer: The football is in the hallway. Question: Where is the apple? Answer: The apple","Where is the football? "
"hallway","Answer: In the garden. To any reader of this paper who will agree to show our goods and","Where is the football? "
"bathroom","The horse which is unbroken bruises his mouth with the hard curb; the one that is","Where is the football? "
"bathroom","Answer: In the kitchen. John went to the office. John went to the office. John went","Where is the milk? "
"hallway","Answer: The milk is in the kitchen. Question: Where is the milk? Answer: The milk","Where is the milk? "
"hallway","Answer: In the garden. Question: Where is the ball? Answer: In the garden. Question","Where is the football? "
"kitchen","The apple is in the centre of the tree. Question: Where is the apple? The apple is","Where is the apple? "
"bedroom","Answer: In the kitchen. Question: Where is the milk? Answer: In the kitchen. Question","Where is the milk? "
"office","Answer: The milk is in the refrigerator. John went back to the hallway. John went back to","Where is the milk? "
