"target","output","question"
"Jeff","Mary","Who did Fred give the football to? "
"Bill","Jeff","Who did Mary give the milk to? "
"Jeff","Jeff. Mary went back to the hallway. She had become larger, and more powerful,","Who did Fred give the milk to? "
"milk","milk","What did Mary give to Fred? "
"Fred","Mary","Who received the milk? "
"apple","apple Jeff Mary apple","What did Mary give to Jeff? "
"apple","apple","What did Mary give to Jeff? "
"apple","apple Bill received apple from Fred","What did Fred give to Bill? "
"Jeff","Mary","Who gave the milk to Fred? "
"Fred","Jeff","Who gave the apple to Mary? "
"Jeff","Bill","Who received the football? "
"Jeff","Bill","Who did Mary give the football to? "
"milk","milk Bill milked Mary","What did Mary give to Bill? "
"Bill","Bill","Who did Mary give the milk to? "
"milk","milk","What did Mary give to Bill? "
"apple","apple","What did Fred give to Mary? "
"Mary","Jeff","Who received the football? "
"apple","milk","What did Fred give to Bill? "
"Jeff","Mary","Who received the apple? "
"Bill","Bill  Answer: Mary gave the football to Bill.  Question: What is the color of the apple","Who did Mary give the football to? "
"Fred","Mary","Who gave the milk to Jeff? "
"Mary","Mary","Who received the milk? "
"Mary","Mary","Who gave the milk? "
"milk","milk","What did Bill give to Mary? "
"milk","milk Jeff gave milk to Bill. milk milk Jeff gave milk to Bill. milk milk Jeff gave milk","What did Jeff give to Bill? "
"football","apple Fred received apple from Jeff","What did Jeff give to Fred? "
"Mary","Jeff Jeff","Who gave the football? "
"Mary","Mary","Who gave the apple to Bill? "
"Fred","Eve  Question: What is the color of the apple? red","Who received the apple? "
"Mary","Mary","Who gave the milk to Bill? "
"milk","milk","What did Mary give to Jeff? "
"Mary","Jeff","Who gave the milk? "
"Fred","Bill Mary apple","Who gave the apple to Mary? "
"football","milk","What did Bill give to Mary? "
"apple","apple  Question: What did Mary give to Fred? milk  Question: What did Mary discard?","What did Fred give to Mary? "
"apple","milk","What did Fred give to Bill? "
"Jeff","Jeff","Who gave the milk? "
"Bill","Fred","Who did Mary give the apple to? "
"Fred","Fred","Who gave the football to Mary? "
"milk","milk","What did Mary give to Fred? "
"milk","milk","What did Fred give to Mary? "
"Mary","Reuben Tracy","Who gave the football? "
"Fred","Bill     Bill received the apple. Bill received the apple. Bill received the apple. Bill received","Who received the apple? "
"Mary","Jeff","Who gave the apple? "
"Fred","Mary","Who gave the apple to Bill? "
"apple","apple","What did Fred give to Bill? "
"Fred","Fred","Who received the apple? "
"Fred","Mary Table: milk (Mary received milk) Mary milk Mary received milk","Who received the milk? "
"Mary","Aggie","Who received the football? "
"apple","apple","What did Bill give to Mary? "
"apple","apple","What did Mary give to Fred? "
"apple","milk","What did Fred give to Bill? "
"apple","apple </col> </row> </table></body></html>","What did Fred give to Bill? "
"milk","milk","What did Jeff give to Fred? "
"Mary","Mary","Who received the milk? "
"Jeff","Bill","Who gave the football? "
"Bill","Bill","Who gave the football to Fred? "
"Mary","Jeff","Who received the football? "
"Mary","Mary","Who gave the football to Fred? "
"Jeff","Jeff","Who did Bill give the milk to? "
"Fred","Mary","Who gave the football to Jeff? "
"Jeff","Mary","Who gave the apple to Fred? "
"Bill","Mary","Who received the milk? "
"Jeff","Mary","Who did Bill give the apple to? "
"milk","apple Fred apple Mary","What did Mary give to Fred? "
"Jeff","Mary","Who received the apple? "
"Jeff","Jeff","Who gave the apple to Bill? "
"apple","apple","What did Mary give to Fred? "
"Bill","Mary","Who did Fred give the apple to? "
"Jeff","Mary","Who gave the apple? "
"Bill","Mary","Who gave the milk to Fred? "
"Bill","Mary","Who did Jeff give the football to? "
"Fred","Mary","Who gave the milk? "
"apple","apple Bill Mary","What did Mary give to Bill? "
"Jeff","Mary","Who received the milk? "
"Bill","Mary","Who did Fred give the milk to? "
"Bill","Bill","Who gave the apple? "
"Jeff","Mary","Who gave the apple? "
"Fred","Mary","Who received the football? "
"football","apple Fred Mary apple","What did Mary give to Fred? "
"Mary","Mary","Who did Jeff give the apple to? "
"football","milk","What did Jeff give to Mary? "
"Mary","Mary","Who received the milk? "
"milk","apple","What did Mary give to Fred? "
"Mary","Mary","Who gave the milk? "
"Bill","Bill","Who gave the milk to Mary? "
"Mary","Bill","Who received the football? "
"Fred","Mary","Who gave the apple? "
"milk","apple","What did Fred give to Bill? "
"Fred","Mary","Who did Bill give the milk to? "
"Jeff","Mary","Who gave the apple? "
"Fred","Mary","Who did Bill give the apple to? "
"Bill","Sam","Who gave the football to Jeff? "
"Bill","Mary","Who did Jeff give the apple to? "
"milk","milk","What did Mary give to Bill? "
"Mary","Mary Bill gave milk to Mary.  ## 2 <context id⁵ date⁵.","Who did Bill give the milk to? "
"Mary","Mary","Who gave the milk to Jeff? "
"Fred","Mary Mary gave milk to Bill.  ## root `give' 1.00","Who gave the milk? "
"Bill","Mary","Who received the milk? "
"Fred","Bill","Who gave the football? "
