target,output,question
bathroom,"bedroom
Fred office",Where is Mary? 
kitchen,"bedroom
Question: Where is Sandra? bedroom
Question: Where is Sandra? bedroom
Question:",Where is Sandra? 
kitchen,"bedroom
Question: Where is Mary? bedroom
Question: Where is Mary? bedroom
Question:",Where is Mary? 
kitchen,"bedroom
<office
<office
<office
<office
<office
<office",Where is John? 
bedroom,"garden
<office: Fred
<office: Fred
<office: Fred
<office:",Where is Sandra? 
office,"office
Question: Where is Mary? bedroom
Question: Where is John? office
Question:",Where is John? 
garden,"garden
and then, rather reluctantly, a little of what she
had been thinking. ""I",Where is Mary? 
bathroom,"bedroom
<or
<or
<or
<or
<or
<or",Where is Sandra? 
kitchen,bedroom,Where is Mary? 
bedroom,"office
Question: Where is Mary? office
Question: Where is Fred? office
Question:",Where is John? 
office,office,Where is Daniel? 
office,bedroom,Where is Daniel? 
bathroom,bedroom,Where is Mary? 
bathroom,"bedroom
Question: Where is Fred? bedroom
Question: Where is Fred? bedroom
Question:",Where is Sandra? 
bathroom,"bedroom
Question: Where is Fred? garden
Question: Where is Fred? garden
Question:",Where is Sandra? 
hallway,"bedroom
Sally arrived
Sally arrived
Sally arrived
Sally arrived
Sally",Where is Mary? 
kitchen,"bedroom
Question: Where is Sandra? bedroom
Question: Where is Sandra? bedroom
Question:",Where is Sandra? 
office,"bedroom
Inglis was also in it with some of her hospital
work. She sought an",Where is Daniel? 
kitchen,"office
<office
<office
<office
<office
<office
<office",Where is Sandra? 
bedroom,"bedroom
Where is Mary? office
Where is John? bedroom
Where is Mary? office",Where is John? 
hallway,"bedroom
Question: Where is Sandra? bedroom
Question: Where is Sandra? bedroom
Question:",Where is Sandra? 
bedroom,"garden
Where is Fred? office
Where is Fred? office
Where is Mary? garden",Where is Mary? 
bedroom,"bedroom
<bedroom
<bedroom
<bedroom
<bedroom
<bed",Where is John? 
bedroom,bedroom,Where is Mary? 
bedroom,"bedroom
Question: Where is Mary? bedroom
Question: Where is Mary? bedroom
Question:",Where is Mary? 
garden,garden,Where is Mary? 
bedroom,"bedroom
Question: Where is Mary? bedroom
Question: Where is Mary? bedroom
Question:",Where is Daniel? 
office,"bedroom
Question: Where is Sandra? bedroom
Question: Where is Sandra? bedroom
Question:",Where is Sandra? 
office,"10:00 am
the 9:00 am
the 8:00 am",Where is Sandra? 
garden,"garden
the good people going to church at
<the good people going to church at
<",Where is Sandra? 
garden,"office
<or Hell's Mouth, as some folk call it. "" Neither name was inviting;",Where is Daniel? 
bathroom,garden,Where is Mary? 
office,"bedroom
Question: Where is Mary? bedroom
Question: Where is Mary? bedroom
Question:",Where is Mary? 
