"target","output","question"
"kitchen","--(a) (1) (1) (1) (1)) (1)) (","Where is Mary? "
"garden","(See the 1st. Question) Answer: Where is Mary? (See the 1","Where is Mary? "
"office","-- -- 1. 1. 1. 1. 1. 1.","Where is Daniel? "
"bathroom","(from the ""Duties"" in the ""Duties"" in the ""Dut","Where is Sandra? "
"kitchen","(from the 1st to the 25th) The 1st to the 25","Where is Sandra? "
"bedroom","--MRS. O.","Where is John? "
"bedroom","(from the ""History of Maryl and ""Destruction"") ""Maryl and ""Destruction","Where is Daniel? "
"garden","""The little summer, and the morning, and the day, and the day, and","Where is Daniel? "
"garden","(A. 48. 49. 50. 51. 52. 53","Where is Sandra? "
"garden","(1) (2) (1) (1) (1) (1) (1","Where is Sandra? "
"office","(A. M. A. M. A. M. A. M. A. M","Where is Mary? "
"bathroom","(A. M. E. R. S. M. E. S. M. E","Where is Sandra? "
"hallway","--A little more of a 'Tennessee."" ""  ""MRS. D. ""N","Where is Daniel? "
"kitchen","--The Prophecy of the Coming of the Messiah --The Prophecy of the Coming of the","Where is Daniel? "
"bedroom","--MRS.-- ""MRS.-- ""  ""  ""  ""  ""","Where is Mary? "
"bedroom","(Daniel 1-3) The Bible (Daniel 1-3 on the Cross. (","Where is Daniel? "
"office","(from the Bible) the answer is in the book of Revelation the answer is in the book","Where is Daniel? "
"office","(1) (2) (3) (4) (5) (6) (7","Where is John? "
"bathroom","Is there any chance of a girl to be determined on the spot. A girl to be","Where is Sandra? "
"office","""The little river."" ""The little river."" ""The little river."" ""The little river.""","Where is Sandra? "
"hallway","--A. Where is the Bible?--A. Where is the Bible?--A. Where","Where is Daniel? "
"garden","(from the Bible) Answer: Where is John? (from the Bible) Read: (from","Where is John? "
"office","-- </> to the to the to the to the to the to the","Where is John? "
"bedroom","(D. 1. 1. 1. 1. 1. 1","Where is Daniel? "
"office","(a. 1. 1. 1. 1. 1. 1","Where is John? "
